Dyad,Player,Round,objectAsked,objectReceived
77849-13016,778491975418362,3,ZAB,-
77849-13016,778491975418362,3,XOL,-
77849-13016,130164602795595,4,ZAB,-
77849-13016,778491975418362,4,ZAB,-
77849-13016,778491975418362,4,DUP,-
77849-13016,778491975418362,4,XOL,-
77849-13016,130164602795595,4,XOL,-
77849-13016,778491975418362,4,ZAB,-
77849-13016,778491975418362,4,DUP,-
77849-13016,778491975418362,4,XOL,-
77849-13016,130164602795595,5,XOL,-
77849-13016,130164602795595,5,ZAB,-
77849-13016,778491975418362,5,ZAB,-
77849-13016,778491975418362,5,DUP,-
77849-13016,778491975418362,5,XOL,-
77849-13016,778491975418362,5,ZAB,-
77849-13016,778491975418362,5,DUP,-
77849-13016,778491975418362,5,XOL,-
77849-13016,778491975418362,5,DUP,-
77849-13016,778491975418362,5,XOL,-
77849-13016,778491975418362,5,ZAB,-
77849-13016,778491975418362,5,DUP,-
77849-13016,130164602795595,5,ZAB,-
77849-13016,778491975418362,5,XOL,-
77849-13016,778491975418362,5,ZAB,-
77849-13016,130164602795595,6,ZAB,-
77849-13016,130164602795595,6,XOL,-
77849-13016,130164602795595,6,ZAB,-
77849-13016,778491975418362,6,XOL,-
77849-13016,778491975418362,6,ZAB,-
77849-13016,778491975418362,6,DUP,-
77849-13016,778491975418362,6,XOL,-
77849-13016,778491975418362,6,ZAB,-
77849-13016,778491975418362,6,DUP,-
77849-13016,778491975418362,6,XOL,-
77849-13016,778491975418362,6,ZAB,-
77849-13016,778491975418362,6,DUP,-
77849-13016,778491975418362,6,XOL,-
77849-13016,778491975418362,6,DUP,-
77849-13016,778491975418362,6,XOL,-
77849-13016,778491975418362,6,XOL,-
77849-13016,778491975418362,6,XOL,-
77849-13016,778491975418362,6,XOL,-
77849-13016,130164602795595,6,XOL,-
77849-13016,778491975418362,6,ZAB,-
77849-13016,778491975418362,6,ZAB,-
77849-13016,778491975418362,6,DUP,-
77849-13016,778491975418362,6,ZAB,-
77849-13016,778491975418362,6,XOL,-
77849-13016,130164602795595,7,XOL,-
77849-13016,130164602795595,7,XOL,-
77849-13016,130164602795595,7,ZAB,-
77849-13016,130164602795595,7,ZAB,-
77849-13016,778491975418362,7,XOL,-
77849-13016,778491975418362,7,DUP,-
77849-13016,778491975418362,7,ZAB,-
77849-13016,778491975418362,7,DUP,-
77849-13016,778491975418362,7,XOL,-
77849-13016,130164602795595,7,ZAB,-
77849-13016,130164602795595,8,ZAB,-
77849-13016,130164602795595,8,ZAB,-
77849-13016,130164602795595,8,XOL,-
77849-13016,130164602795595,8,XOL,-
77849-13016,778491975418362,8,XOL,-
77849-13016,778491975418362,8,DUP,-
77849-13016,778491975418362,8,ZAB,-
77849-13016,778491975418362,8,XOL,-
77849-13016,778491975418362,8,DUP,-
77849-13016,778491975418362,8,ZAB,-
77849-13016,778491975418362,8,XOL,-
77849-13016,778491975418362,8,DUP,-
77849-13016,778491975418362,8,ZAB,-
77849-13016,130164602795595,8,XOL,-
77849-13016,778491975418362,8,XOL,-
77849-13016,130164602795595,8,XOL,-
77849-13016,778491975418362,8,DUP,-
77849-13016,778491975418362,8,ZAB,-
77849-13016,778491975418362,8,XOL,-
77849-13016,778491975418362,8,ZAB,-
77849-13016,778491975418362,8,DUP,-
77849-13016,778491975418362,8,XOL,-
77849-13016,130164602795595,9,XOL,-
77849-13016,130164602795595,9,ZAB,-
77849-13016,130164602795595,9,ZAB,-
77849-13016,130164602795595,9,XOL,-
77849-13016,130164602795595,9,ZAB,-
77849-13016,130164602795595,9,XOL,-
77849-13016,130164602795595,9,XOL,-
77849-13016,130164602795595,9,ZAB,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,XOL,-
77849-13016,778491975418362,9,DUP,-
77849-13016,778491975418362,9,ZAB,-
77849-13016,778491975418362,9,XOL,-
77849-13016,130164602795595,10,XOL,-
77849-13016,130164602795595,10,ZAB,-
77849-13016,130164602795595,10,XOL,-
77849-13016,130164602795595,10,ZAB,-
77849-13016,778491975418362,10,DUP,-
77849-13016,778491975418362,10,ZAB,-
77849-13016,778491975418362,10,XOL,-
77849-13016,778491975418362,10,DUP,-
77849-13016,778491975418362,10,ZAB,-
77849-13016,778491975418362,10,XOL,-
77849-13016,778491975418362,10,XOL,-
77849-13016,778491975418362,10,ZAB,-
77849-13016,778491975418362,10,DUP,-
77849-13016,778491975418362,10,DUP,-
77849-13016,130164602795595,10,XOL,-
77849-13016,778491975418362,10,ZAB,-
77849-13016,778491975418362,10,XOL,-
77849-13016,778491975418362,10,XOL,-
77849-13016,778491975418362,10,DUP,-
77849-13016,778491975418362,10,ZAB,-
77849-13016,130164602795595,10,ZAB,-
77849-13016,130164602795595,10,XOL,-
77849-13016,130164602795595,11,ZAB,-
77849-13016,130164602795595,11,XOL,-
77849-13016,130164602795595,11,ZAB,-
77849-13016,130164602795595,11,XOL,-
77849-13016,130164602795595,11,XOL,-
77849-13016,130164602795595,11,ZAB,-
77849-13016,778491975418362,11,DUP,-
77849-13016,778491975418362,11,ZAB,-
77849-13016,778491975418362,11,XOL,-
77849-13016,778491975418362,11,DUP,-
77849-13016,778491975418362,11,ZAB,-
77849-13016,778491975418362,11,XOL,-
77849-13016,778491975418362,11,DUP,-
77849-13016,778491975418362,11,ZAB,-
77849-13016,778491975418362,11,XOL,-
77849-13016,778491975418362,11,DUP,-
77849-13016,778491975418362,11,ZAB,-
77849-13016,778491975418362,11,XOL,-
77849-13016,778491975418362,11,DUP,-
77849-13016,778491975418362,11,ZAB,-
77849-13016,778491975418362,11,XOL,-
77849-13016,778491975418362,11,DUP,-
77849-13016,778491975418362,11,ZAB,-
77849-13016,778491975418362,11,XOL,-
77849-13016,778491975418362,11,DUP,-
77849-13016,778491975418362,11,ZAB,-
77849-13016,778491975418362,11,XOL,-
77849-13016,778491975418362,11,XOL,-
77849-13016,130164602795595,12,XOL,-
77849-13016,130164602795595,12,ZAB,-
77849-13016,130164602795595,12,XOL,-
77849-13016,130164602795595,12,XOL,-
77849-13016,130164602795595,12,ZAB,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,DUP,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,DUP,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,DUP,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,DUP,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,DUP,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,DUP,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,DUP,-
77849-13016,778491975418362,12,XOL,-
77849-13016,778491975418362,12,ZAB,-
77849-13016,778491975418362,12,XOL,-
77849-13016,130164602795595,13,ZAB,-
77849-13016,130164602795595,13,XOL,-
77849-13016,130164602795595,13,ZAB,-
77849-13016,130164602795595,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,130164602795595,13,DUP,-
77849-13016,130164602795595,13,XOL,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,DUP,-
77849-13016,778491975418362,13,XOL,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,ZAB,-
77849-13016,778491975418362,13,XOL,-
77849-13016,130164602795595,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,130164602795595,14,XOL,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,130164602795595,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,130164602795595,14,XOL,-
77849-13016,130164602795595,14,XOL,-
77849-13016,130164602795595,14,ZAB,-
77849-13016,130164602795595,14,XOL,-
77849-13016,130164602795595,14,XOL,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,DUP,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,XOL,-
77849-13016,778491975418362,14,ZAB,-
77849-13016,778491975418362,14,DUP,-
77849-13016,130164602795595,15,ZAB,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,130164602795595,15,DUP,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,DUP,-
77849-13016,130164602795595,15,ZAB,-
77849-13016,130164602795595,15,ZAB,-
77849-13016,130164602795595,15,XOL,-
77849-13016,130164602795595,15,XOL,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,DUP,-
77849-13016,130164602795595,15,ZAB,-
77849-13016,130164602795595,15,DUP,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,DUP,-
77849-13016,778491975418362,15,ZAB,-
77849-13016,778491975418362,15,XOL,-
77849-13016,778491975418362,15,DUP,-
93498-57924,934989713159287,1,XOL,Xol
93498-57924,934989713159287,1,ZAB,Xol
93498-57924,579246711735224,1,DUP,-
93498-57924,934989713159287,1,DUP,Xol
93498-57924,934989713159287,2,ZAB,-
93498-57924,579246711735224,2,XOL,-
93498-57924,934989713159287,2,XOL,-
93498-57924,934989713159287,2,XOL,-
93498-57924,579246711735224,2,DUP,-
93498-57924,579246711735224,2,XOL,-
93498-57924,579246711735224,2,DUP,-
93498-57924,934989713159287,3,ZAB,-
93498-57924,934989713159287,3,DUP,-
93498-57924,579246711735224,3,DUP,-
93498-57924,579246711735224,3,XOL,-
93498-57924,579246711735224,3,DUP,-
93498-57924,934989713159287,3,DUP,-
93498-57924,934989713159287,3,DUP,-
93498-57924,579246711735224,3,ZAB,-
93498-57924,579246711735224,3,DUP,-
93498-57924,579246711735224,3,XOL,Otro-R-G-VP-HI
93498-57924,579246711735224,3,XOL,Dup
93498-57924,934989713159287,4,DUP,-
93498-57924,934989713159287,4,DUP,-
93498-57924,934989713159287,4,DUP,-
93498-57924,934989713159287,4,DUP,-
93498-57924,934989713159287,4,DUP,-
93498-57924,934989713159287,4,DUP,-
93498-57924,934989713159287,4,DUP,-
93498-57924,579246711735224,4,XOL,-
93498-57924,579246711735224,4,ZAB,-
93498-57924,579246711735224,4,DUP,-
93498-57924,579246711735224,4,XOL,-
93498-57924,579246711735224,4,DUP,-
93498-57924,934989713159287,4,XOL,-
93498-57924,579246711735224,4,XOL,-
93498-57924,934989713159287,4,ZAB,-
93498-57924,934989713159287,4,ZAB,-
93498-57924,934989713159287,4,ZAB,Otro-A-B-VP-HI
93498-57924,934989713159287,4,DUP,Xol
93498-57924,934989713159287,4,ZAB,Otro-R-B-VP-HI
93498-57924,934989713159287,4,DUP,Xol
93498-57924,934989713159287,4,XOL,Xol
93498-57924,934989713159287,4,ZAB,Otro-A-G-VP-HI
93498-57924,934989713159287,4,DUP,Xol
93498-57924,934989713159287,4,XOL,Ignorar
93498-57924,579246711735224,4,XOL,-
93498-57924,934989713159287,4,DUP,Xol
93498-57924,934989713159287,4,DUP,Xol
93498-57924,934989713159287,4,XOL,Otro-R-G-VP-HI
93498-57924,934989713159287,4,XOL,Ignorar
93498-57924,579246711735224,4,XOL,-
93498-57924,934989713159287,4,DUP,Ignorar
93498-57924,579246711735224,4,ZAB,-
93498-57924,579246711735224,4,DUP,-
93498-57924,579246711735224,5,XOL,-
93498-57924,934989713159287,5,ZAB,-
93498-57924,579246711735224,5,ZAB,-
93498-57924,579246711735224,5,DUP,-
93498-57924,579246711735224,5,DUP,-
93498-57924,934989713159287,5,XOL,-
93498-57924,934989713159287,5,XOL,-
93498-57924,934989713159287,5,DUP,-
93498-57924,934989713159287,5,ZAB,-
93498-57924,934989713159287,5,DUP,-
93498-57924,934989713159287,5,XOL,-
93498-57924,934989713159287,5,DUP,-
93498-57924,579246711735224,5,XOL,-
93498-57924,579246711735224,5,ZAB,-
93498-57924,579246711735224,5,DUP,-
93498-57924,579246711735224,5,ZAB,-
93498-57924,934989713159287,5,DUP,-
93498-57924,934989713159287,5,XOL,-
93498-57924,579246711735224,5,DUP,-
93498-57924,934989713159287,5,ZAB,-
93498-57924,579246711735224,5,XOL,-
93498-57924,579246711735224,5,ZAB,-
93498-57924,579246711735224,5,ZAB,-
93498-57924,934989713159287,5,XOL,-
93498-57924,934989713159287,5,DUP,-
93498-57924,934989713159287,6,ZAB,-
93498-57924,934989713159287,6,DUP,-
93498-57924,579246711735224,6,XOL,-
93498-57924,934989713159287,6,ZAB,-
93498-57924,934989713159287,6,DUP,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,ZAB,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,DUP,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,XOL,-
93498-57924,579246711735224,6,ZAB,-
93498-57924,579246711735224,6,DUP,-
93498-57924,579246711735224,6,DUP,-
93498-57924,579246711735224,7,DUP,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,DUP,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,DUP,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,934989713159287,7,DUP,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,934989713159287,7,DUP,-
93498-57924,934989713159287,7,DUP,-
93498-57924,934989713159287,7,DUP,-
93498-57924,934989713159287,7,DUP,-
93498-57924,934989713159287,7,DUP,-
93498-57924,934989713159287,7,DUP,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,XOL,-
93498-57924,579246711735224,7,DUP,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,DUP,-
93498-57924,579246711735224,7,ZAB,-
93498-57924,579246711735224,7,DUP,-
93498-57924,579246711735224,7,XOL,-
93498-57924,934989713159287,8,XOL,-
93498-57924,934989713159287,8,XOL,-
93498-57924,934989713159287,8,XOL,-
93498-57924,579246711735224,8,ZAB,-
93498-57924,579246711735224,8,ZAB,-
93498-57924,579246711735224,8,XOL,-
93498-57924,579246711735224,8,ZAB,-
93498-57924,579246711735224,8,XOL,-
93498-57924,579246711735224,8,XOL,-
93498-57924,934989713159287,8,DUP,-
93498-57924,934989713159287,8,DUP,-
93498-57924,579246711735224,8,XOL,-
93498-57924,579246711735224,8,XOL,-
93498-57924,934989713159287,8,XOL,-
93498-57924,579246711735224,8,ZAB,-
93498-57924,934989713159287,8,DUP,-
93498-57924,579246711735224,8,XOL,-
93498-57924,579246711735224,8,DUP,-
93498-57924,579246711735224,8,ZAB,-
93498-57924,579246711735224,8,XOL,-
93498-57924,934989713159287,8,DUP,-
93498-57924,934989713159287,8,DUP,-
93498-57924,579246711735224,8,XOL,-
93498-57924,579246711735224,8,XOL,-
93498-57924,579246711735224,8,ZAB,-
93498-57924,934989713159287,8,DUP,-
93498-57924,934989713159287,8,DUP,-
93498-57924,934989713159287,8,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,579246711735224,9,DUP,-
93498-57924,579246711735224,9,DUP,-
93498-57924,579246711735224,9,DUP,-
93498-57924,579246711735224,9,XOL,-
93498-57924,579246711735224,9,XOL,-
93498-57924,579246711735224,9,XOL,-
93498-57924,579246711735224,9,DUP,-
93498-57924,579246711735224,9,XOL,-
93498-57924,579246711735224,9,ZAB,-
93498-57924,579246711735224,9,XOL,-
93498-57924,934989713159287,9,DUP,-
93498-57924,579246711735224,9,XOL,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,579246711735224,9,XOL,-
93498-57924,579246711735224,9,ZAB,-
93498-57924,579246711735224,9,ZAB,-
93498-57924,579246711735224,9,ZAB,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,579246711735224,9,XOL,-
93498-57924,579246711735224,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,579246711735224,9,ZAB,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,579246711735224,9,XOL,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
93498-57924,934989713159287,9,DUP,-
