Dyad,Player,Raza,Stage,Round,Object,Label,Kind,Correct
45981-38174,459819203408978,hound,1,7,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,7,D10.jpg,D,D,1
45981-38174,459819203408978,hound,1,7,D11.jpg,D,D,1
45981-38174,459819203408978,hound,1,7,B7.jpg,B,B,1
45981-38174,459819203408978,hound,1,7,B9.jpg,B,B,1
45981-38174,459819203408978,hound,1,8,B3.jpg,B,B,1
45981-38174,459819203408978,hound,1,8,D6.jpg,D,D,1
45981-38174,459819203408978,hound,1,8,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,8,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,8,B9.jpg,B,B,1
45981-38174,38174543864515,terrier,1,8,A10.jpg,A,A,1
45981-38174,38174543864515,terrier,1,8,A9.jpg,A,A,1
45981-38174,38174543864515,terrier,1,8,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,8,A11.jpg,A,A,1
45981-38174,38174543864515,terrier,1,8,C1.jpg,A,C,0
45981-38174,459819203408978,hound,1,9,D5.jpg,D,D,1
45981-38174,459819203408978,hound,1,9,B9.jpg,B,B,1
45981-38174,459819203408978,hound,1,9,D10.jpg,D,D,1
45981-38174,459819203408978,hound,1,9,B11.jpg,B,B,1
45981-38174,459819203408978,hound,1,9,D1.jpg,D,D,1
45981-38174,38174543864515,terrier,1,9,A10.jpg,A,A,1
45981-38174,38174543864515,terrier,1,9,A2.jpg,A,A,1
45981-38174,38174543864515,terrier,1,9,C7.jpg,C,C,1
45981-38174,38174543864515,terrier,1,9,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,9,A4.jpg,C,A,0
45981-38174,38174543864515,terrier,1,10,C4.jpg,C,C,1
45981-38174,38174543864515,terrier,1,10,A12.jpg,A,A,1
45981-38174,38174543864515,terrier,1,10,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,1,10,A7.jpg,A,A,1
45981-38174,38174543864515,terrier,1,10,A8.jpg,A,A,1
45981-38174,459819203408978,hound,1,10,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,10,D5.jpg,D,D,1
45981-38174,459819203408978,hound,1,10,B3.jpg,B,B,1
45981-38174,459819203408978,hound,1,10,B2.jpg,B,B,1
45981-38174,459819203408978,hound,1,10,D7.jpg,D,D,1
45981-38174,38174543864515,terrier,1,11,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,1,11,A11.jpg,A,A,1
45981-38174,38174543864515,terrier,1,11,C8.jpg,C,C,1
45981-38174,38174543864515,terrier,1,11,C7.jpg,C,C,1
45981-38174,38174543864515,terrier,1,11,A8.jpg,A,A,1
45981-38174,459819203408978,hound,1,11,D4.jpg,D,D,1
45981-38174,459819203408978,hound,1,11,D8.jpg,D,D,1
45981-38174,459819203408978,hound,1,11,B11.jpg,B,B,1
45981-38174,459819203408978,hound,1,11,B9.jpg,B,B,1
45981-38174,459819203408978,hound,1,11,D11.jpg,D,D,1
45981-38174,38174543864515,terrier,1,12,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,1,12,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,1,12,C4.jpg,C,C,1
45981-38174,38174543864515,terrier,1,12,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,12,A5.jpg,A,A,1
45981-38174,459819203408978,hound,1,12,D9.jpg,D,D,1
45981-38174,459819203408978,hound,1,12,D7.jpg,D,D,1
45981-38174,459819203408978,hound,1,12,D11.jpg,D,D,1
45981-38174,459819203408978,hound,1,12,D12.jpg,D,D,1
45981-38174,459819203408978,hound,1,12,D2.jpg,D,D,1
45981-38174,38174543864515,terrier,1,13,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,13,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,1,13,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,1,13,A7.jpg,A,A,1
45981-38174,38174543864515,terrier,1,13,C4.jpg,C,C,1
45981-38174,459819203408978,hound,1,13,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,13,B5.jpg,B,B,1
45981-38174,459819203408978,hound,1,13,B1.jpg,B,B,1
45981-38174,459819203408978,hound,1,13,D2.jpg,D,D,1
45981-38174,459819203408978,hound,1,13,B11.jpg,B,B,1
45981-38174,38174543864515,terrier,1,14,A4.jpg,A,A,1
45981-38174,38174543864515,terrier,1,14,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,1,14,C2.jpg,C,C,1
45981-38174,38174543864515,terrier,1,14,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,14,A10.jpg,A,A,1
45981-38174,459819203408978,hound,1,14,D7.jpg,D,D,1
45981-38174,459819203408978,hound,1,14,B2.jpg,B,B,1
45981-38174,459819203408978,hound,1,14,D8.jpg,D,D,1
45981-38174,459819203408978,hound,1,14,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,14,D5.jpg,D,D,1
45981-38174,38174543864515,terrier,1,15,A10.jpg,A,A,1
45981-38174,38174543864515,terrier,1,15,A7.jpg,A,A,1
45981-38174,38174543864515,terrier,1,15,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,1,15,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,15,A4.jpg,A,A,1
45981-38174,459819203408978,hound,1,15,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,15,B1.jpg,B,B,1
45981-38174,459819203408978,hound,1,15,D2.jpg,D,D,1
45981-38174,459819203408978,hound,1,15,B11.jpg,B,B,1
45981-38174,459819203408978,hound,1,15,B6.jpg,B,B,1
45981-38174,38174543864515,terrier,1,16,C8.jpg,C,C,1
45981-38174,38174543864515,terrier,1,16,C3.jpg,C,C,1
45981-38174,38174543864515,terrier,1,16,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,1,16,C4.jpg,C,C,1
45981-38174,38174543864515,terrier,1,16,C11.jpg,C,C,1
45981-38174,459819203408978,hound,1,16,D8.jpg,D,D,1
45981-38174,459819203408978,hound,1,16,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,16,D5.jpg,D,D,1
45981-38174,459819203408978,hound,1,16,B6.jpg,B,B,1
45981-38174,459819203408978,hound,1,16,D2.jpg,D,D,1
45981-38174,459819203408978,hound,1,17,B6.jpg,B,B,1
45981-38174,459819203408978,hound,1,17,D8.jpg,D,D,1
45981-38174,459819203408978,hound,1,17,D4.jpg,D,D,1
45981-38174,459819203408978,hound,1,17,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,17,D7.jpg,D,D,1
45981-38174,38174543864515,terrier,1,17,C6.jpg,C,C,1
45981-38174,38174543864515,terrier,1,17,A7.jpg,A,A,1
45981-38174,38174543864515,terrier,1,17,C4.jpg,C,C,1
45981-38174,38174543864515,terrier,1,17,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,1,17,A9.jpg,A,A,1
45981-38174,459819203408978,hound,1,18,D5.jpg,D,D,1
45981-38174,459819203408978,hound,1,18,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,18,B10.jpg,B,B,1
45981-38174,459819203408978,hound,1,18,B3.jpg,B,B,1
45981-38174,459819203408978,hound,1,18,D6.jpg,D,D,1
45981-38174,38174543864515,terrier,1,18,C8.jpg,C,C,1
45981-38174,38174543864515,terrier,1,18,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,1,18,A5.jpg,A,A,1
45981-38174,38174543864515,terrier,1,18,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,1,18,A11.jpg,A,A,1
45981-38174,459819203408978,hound,1,19,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,19,B12.jpg,B,B,1
45981-38174,459819203408978,hound,1,19,B3.jpg,B,B,1
45981-38174,459819203408978,hound,1,19,B2.jpg,B,B,1
45981-38174,459819203408978,hound,1,19,B6.jpg,B,B,1
45981-38174,38174543864515,terrier,1,19,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,1,19,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,1,19,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,19,C6.jpg,C,C,1
45981-38174,38174543864515,terrier,1,19,C4.jpg,C,C,1
45981-38174,38174543864515,terrier,1,20,A12.jpg,A,A,1
45981-38174,38174543864515,terrier,1,20,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,20,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,1,20,A7.jpg,A,A,1
45981-38174,38174543864515,terrier,1,20,C12.jpg,C,C,1
45981-38174,459819203408978,hound,1,20,B8.jpg,D,B,0
45981-38174,459819203408978,hound,1,20,B11.jpg,B,B,1
45981-38174,459819203408978,hound,1,20,B6.jpg,B,B,1
45981-38174,459819203408978,hound,1,20,D8.jpg,D,D,1
45981-38174,459819203408978,hound,1,20,B1.jpg,B,B,1
45981-38174,459819203408978,hound,1,21,D6.jpg,D,D,1
45981-38174,459819203408978,hound,1,21,B10.jpg,B,B,1
45981-38174,459819203408978,hound,1,21,B9.jpg,B,B,1
45981-38174,459819203408978,hound,1,21,B3.jpg,B,B,1
45981-38174,459819203408978,hound,1,21,D12.jpg,D,D,1
45981-38174,38174543864515,terrier,1,21,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,1,21,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,1,21,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,21,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,1,21,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,1,22,C7.jpg,C,C,1
45981-38174,38174543864515,terrier,1,22,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,1,22,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,1,22,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,1,22,A6.jpg,A,A,1
45981-38174,459819203408978,hound,1,22,B4.jpg,B,B,1
45981-38174,459819203408978,hound,1,22,D12.jpg,D,D,1
45981-38174,459819203408978,hound,1,22,D10.jpg,D,D,1
45981-38174,459819203408978,hound,1,22,B8.jpg,B,B,1
45981-38174,459819203408978,hound,1,22,D8.jpg,D,D,1
45981-38174,459819203408978,hound,1,23,B8.jpg,B,B,1
45981-38174,459819203408978,hound,1,23,B4.jpg,B,B,1
45981-38174,459819203408978,hound,1,23,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,23,D6.jpg,D,D,1
45981-38174,459819203408978,hound,1,23,B7.jpg,B,B,1
45981-38174,38174543864515,terrier,1,23,C12.jpg,C,C,1
45981-38174,38174543864515,terrier,1,23,A11.jpg,A,A,1
45981-38174,38174543864515,terrier,1,23,C2.jpg,C,C,1
45981-38174,38174543864515,terrier,1,23,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,23,C7.jpg,C,C,1
45981-38174,459819203408978,hound,1,24,D11.jpg,D,D,1
45981-38174,459819203408978,hound,1,24,B3.jpg,B,B,1
45981-38174,459819203408978,hound,1,24,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,24,D3.jpg,D,D,1
45981-38174,459819203408978,hound,1,24,D9.jpg,D,D,1
45981-38174,38174543864515,terrier,1,24,C7.jpg,C,C,1
45981-38174,38174543864515,terrier,1,24,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,1,24,C1.jpg,A,C,0
45981-38174,38174543864515,terrier,1,24,C6.jpg,C,C,1
45981-38174,38174543864515,terrier,1,24,C3.jpg,C,C,1
45981-38174,459819203408978,hound,1,25,B1.jpg,B,B,1
45981-38174,459819203408978,hound,1,25,D4.jpg,D,D,1
45981-38174,459819203408978,hound,1,25,D6.jpg,D,D,1
45981-38174,459819203408978,hound,1,25,B12.jpg,B,B,1
45981-38174,459819203408978,hound,1,25,B7.jpg,B,B,1
45981-38174,38174543864515,terrier,1,25,C7.jpg,C,C,1
45981-38174,38174543864515,terrier,1,25,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,1,25,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,1,25,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,25,A2.jpg,A,A,1
45981-38174,459819203408978,hound,2,1,B1.jpg,B,B,1
45981-38174,459819203408978,hound,2,1,C1.jpg,A,C,0
45981-38174,459819203408978,hound,2,1,B5.jpg,D,B,0
45981-38174,459819203408978,hound,2,1,B8.jpg,B,B,1
45981-38174,459819203408978,hound,2,1,A10.jpg,C,A,0
45981-38174,38174543864515,terrier,2,1,B1.jpg,B,B,1
45981-38174,38174543864515,terrier,2,1,C1.jpg,A,C,0
45981-38174,38174543864515,terrier,2,1,B5.jpg,D,B,0
45981-38174,38174543864515,terrier,2,1,B8.jpg,D,B,0
45981-38174,38174543864515,terrier,2,1,A10.jpg,A,A,1
45981-38174,459819203408978,hound,2,2,D8.jpg,D,D,1
45981-38174,459819203408978,hound,2,2,D6.jpg,D,D,1
45981-38174,459819203408978,hound,2,2,B7.jpg,B,B,1
45981-38174,459819203408978,hound,2,2,A8.jpg,Nada,A,0
45981-38174,459819203408978,hound,2,2,B5.jpg,B,B,1
45981-38174,38174543864515,terrier,2,2,D8.jpg,C,D,0
45981-38174,38174543864515,terrier,2,2,D6.jpg,D,D,1
45981-38174,38174543864515,terrier,2,2,B7.jpg,D,B,0
45981-38174,38174543864515,terrier,2,2,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,2,2,B5.jpg,B,B,1
45981-38174,38174543864515,terrier,2,3,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,2,3,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,2,3,D2.jpg,B,D,0
45981-38174,38174543864515,terrier,2,3,A2.jpg,A,A,1
45981-38174,38174543864515,terrier,2,3,B8.jpg,B,B,1
45981-38174,459819203408978,hound,2,3,A1.jpg,A,A,1
45981-38174,459819203408978,hound,2,3,C5.jpg,C,C,1
45981-38174,459819203408978,hound,2,3,D2.jpg,D,D,1
45981-38174,459819203408978,hound,2,3,A2.jpg,A,A,1
45981-38174,459819203408978,hound,2,3,B8.jpg,B,B,1
45981-38174,38174543864515,terrier,2,4,D12.jpg,B,D,0
45981-38174,38174543864515,terrier,2,4,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,2,4,B10.jpg,D,B,0
45981-38174,38174543864515,terrier,2,4,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,2,4,C7.jpg,C,C,1
45981-38174,459819203408978,hound,2,4,D12.jpg,D,D,1
45981-38174,459819203408978,hound,2,4,C10.jpg,C,C,1
45981-38174,459819203408978,hound,2,4,B10.jpg,B,B,1
45981-38174,459819203408978,hound,2,4,A8.jpg,A,A,1
45981-38174,459819203408978,hound,2,4,C7.jpg,A,C,0
45981-38174,38174543864515,terrier,2,5,D3.jpg,B,D,0
45981-38174,38174543864515,terrier,2,5,C8.jpg,C,C,1
45981-38174,38174543864515,terrier,2,5,D11.jpg,D,D,1
45981-38174,38174543864515,terrier,2,5,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,2,5,B5.jpg,B,B,1
45981-38174,459819203408978,hound,2,5,D3.jpg,D,D,1
45981-38174,459819203408978,hound,2,5,C8.jpg,C,C,1
45981-38174,459819203408978,hound,2,5,D11.jpg,D,D,1
45981-38174,459819203408978,hound,2,5,C10.jpg,C,C,1
45981-38174,459819203408978,hound,2,5,B5.jpg,B,B,1
45981-38174,459819203408978,hound,2,6,B7.jpg,B,B,1
45981-38174,459819203408978,hound,2,6,D4.jpg,D,D,1
45981-38174,459819203408978,hound,2,6,A6.jpg,A,A,1
45981-38174,459819203408978,hound,2,6,D6.jpg,D,D,1
45981-38174,459819203408978,hound,2,6,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,2,6,B7.jpg,B,B,1
45981-38174,38174543864515,terrier,2,6,D4.jpg,B,D,0
45981-38174,38174543864515,terrier,2,6,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,2,6,D6.jpg,D,D,1
45981-38174,38174543864515,terrier,2,6,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,2,7,B7.jpg,B,B,1
45981-38174,38174543864515,terrier,2,7,D4.jpg,D,D,1
45981-38174,38174543864515,terrier,2,7,B1.jpg,B,B,1
45981-38174,38174543864515,terrier,2,7,D7.jpg,D,D,1
45981-38174,38174543864515,terrier,2,7,D8.jpg,D,D,1
45981-38174,459819203408978,hound,2,7,B7.jpg,B,B,1
45981-38174,459819203408978,hound,2,7,D4.jpg,D,D,1
45981-38174,459819203408978,hound,2,7,B1.jpg,B,B,1
45981-38174,459819203408978,hound,2,7,D7.jpg,D,D,1
45981-38174,459819203408978,hound,2,7,D8.jpg,D,D,1
45981-38174,38174543864515,terrier,2,8,D3.jpg,D,D,1
45981-38174,38174543864515,terrier,2,8,D7.jpg,D,D,1
45981-38174,38174543864515,terrier,2,8,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,2,8,B8.jpg,B,B,1
45981-38174,38174543864515,terrier,2,8,A2.jpg,C,A,0
45981-38174,459819203408978,hound,2,8,D3.jpg,D,D,1
45981-38174,459819203408978,hound,2,8,D7.jpg,D,D,1
45981-38174,459819203408978,hound,2,8,C5.jpg,C,C,1
45981-38174,459819203408978,hound,2,8,B8.jpg,B,B,1
45981-38174,459819203408978,hound,2,8,A2.jpg,C,A,0
45981-38174,459819203408978,hound,2,9,B6.jpg,B,B,1
45981-38174,459819203408978,hound,2,9,B3.jpg,B,B,1
45981-38174,459819203408978,hound,2,9,C5.jpg,C,C,1
45981-38174,459819203408978,hound,2,9,C12.jpg,C,C,1
45981-38174,459819203408978,hound,2,9,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,2,9,B6.jpg,B,B,1
45981-38174,38174543864515,terrier,2,9,B3.jpg,B,B,1
45981-38174,38174543864515,terrier,2,9,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,2,9,C12.jpg,C,C,1
45981-38174,38174543864515,terrier,2,9,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,2,10,D11.jpg,D,D,1
45981-38174,38174543864515,terrier,2,10,D2.jpg,D,D,1
45981-38174,38174543864515,terrier,2,10,B11.jpg,B,B,1
45981-38174,38174543864515,terrier,2,10,D1.jpg,D,D,1
45981-38174,38174543864515,terrier,2,10,D10.jpg,B,D,0
45981-38174,459819203408978,hound,2,10,D11.jpg,D,D,1
45981-38174,459819203408978,hound,2,10,D2.jpg,D,D,1
45981-38174,459819203408978,hound,2,10,B11.jpg,B,B,1
45981-38174,459819203408978,hound,2,10,D1.jpg,D,D,1
45981-38174,459819203408978,hound,2,10,D10.jpg,D,D,1
45981-38174,459819203408978,hound,2,11,A12.jpg,A,A,1
45981-38174,459819203408978,hound,2,11,C9.jpg,C,C,1
45981-38174,459819203408978,hound,2,11,D3.jpg,D,D,1
45981-38174,459819203408978,hound,2,11,D6.jpg,D,D,1
45981-38174,459819203408978,hound,2,11,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,2,11,A12.jpg,A,A,1
45981-38174,38174543864515,terrier,2,11,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,2,11,D3.jpg,D,D,1
45981-38174,38174543864515,terrier,2,11,D6.jpg,D,D,1
45981-38174,38174543864515,terrier,2,11,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,2,12,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,2,12,A5.jpg,A,A,1
45981-38174,38174543864515,terrier,2,12,B3.jpg,B,B,1
45981-38174,38174543864515,terrier,2,12,B4.jpg,B,B,1
45981-38174,38174543864515,terrier,2,12,D1.jpg,D,D,1
45981-38174,459819203408978,hound,2,12,A8.jpg,A,A,1
45981-38174,459819203408978,hound,2,12,A5.jpg,A,A,1
45981-38174,459819203408978,hound,2,12,B3.jpg,B,B,1
45981-38174,459819203408978,hound,2,12,B4.jpg,B,B,1
45981-38174,459819203408978,hound,2,12,D1.jpg,D,D,1
45981-38174,459819203408978,hound,2,13,A3.jpg,A,A,1
45981-38174,459819203408978,hound,2,13,C8.jpg,A,C,0
45981-38174,459819203408978,hound,2,13,B2.jpg,B,B,1
45981-38174,459819203408978,hound,2,13,D2.jpg,D,D,1
45981-38174,459819203408978,hound,2,13,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,2,13,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,2,13,C8.jpg,C,C,1
45981-38174,38174543864515,terrier,2,13,B2.jpg,B,B,1
45981-38174,38174543864515,terrier,2,13,D2.jpg,D,D,1
45981-38174,38174543864515,terrier,2,13,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,2,14,A5.jpg,A,A,1
45981-38174,38174543864515,terrier,2,14,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,2,14,D8.jpg,D,D,1
45981-38174,38174543864515,terrier,2,14,D9.jpg,D,D,1
45981-38174,38174543864515,terrier,2,14,B5.jpg,B,B,1
45981-38174,459819203408978,hound,2,14,A5.jpg,A,A,1
45981-38174,459819203408978,hound,2,14,A6.jpg,A,A,1
45981-38174,459819203408978,hound,2,14,D8.jpg,D,D,1
45981-38174,459819203408978,hound,2,14,D9.jpg,D,D,1
45981-38174,459819203408978,hound,2,14,B5.jpg,B,B,1
45981-38174,38174543864515,terrier,2,15,A11.jpg,A,A,1
45981-38174,38174543864515,terrier,2,15,C12.jpg,C,C,1
45981-38174,38174543864515,terrier,2,15,D8.jpg,D,D,1
45981-38174,38174543864515,terrier,2,15,C2.jpg,C,C,1
45981-38174,38174543864515,terrier,2,15,B10.jpg,B,B,1
45981-38174,459819203408978,hound,2,15,A11.jpg,A,A,1
45981-38174,459819203408978,hound,2,15,C12.jpg,C,C,1
45981-38174,459819203408978,hound,2,15,D8.jpg,D,D,1
45981-38174,459819203408978,hound,2,15,C2.jpg,C,C,1
45981-38174,459819203408978,hound,2,15,B10.jpg,B,B,1
45981-38174,38174543864515,terrier,2,16,A12.jpg,A,A,1
45981-38174,38174543864515,terrier,2,16,C3.jpg,C,C,1
45981-38174,38174543864515,terrier,2,16,B7.jpg,B,B,1
45981-38174,38174543864515,terrier,2,16,A5.jpg,A,A,1
45981-38174,38174543864515,terrier,2,16,A7.jpg,A,A,1
45981-38174,459819203408978,hound,2,16,A12.jpg,C,A,0
45981-38174,459819203408978,hound,2,16,C3.jpg,C,C,1
45981-38174,459819203408978,hound,2,16,B7.jpg,B,B,1
45981-38174,459819203408978,hound,2,16,A5.jpg,A,A,1
45981-38174,459819203408978,hound,2,16,A7.jpg,A,A,1
45981-38174,38174543864515,terrier,2,17,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,2,17,D7.jpg,D,D,1
45981-38174,38174543864515,terrier,2,17,D11.jpg,D,D,1
45981-38174,38174543864515,terrier,2,17,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,2,17,D2.jpg,D,D,1
45981-38174,459819203408978,hound,2,17,C9.jpg,C,C,1
45981-38174,459819203408978,hound,2,17,D7.jpg,D,D,1
45981-38174,459819203408978,hound,2,17,D11.jpg,D,D,1
45981-38174,459819203408978,hound,2,17,A8.jpg,A,A,1
45981-38174,459819203408978,hound,2,17,D2.jpg,D,D,1
45981-38174,38174543864515,terrier,2,18,B12.jpg,B,B,1
45981-38174,38174543864515,terrier,2,18,A4.jpg,A,A,1
45981-38174,38174543864515,terrier,2,18,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,2,18,B10.jpg,B,B,1
45981-38174,38174543864515,terrier,2,18,A12.jpg,C,A,0
45981-38174,459819203408978,hound,2,18,B12.jpg,B,B,1
45981-38174,459819203408978,hound,2,18,A4.jpg,A,A,1
45981-38174,459819203408978,hound,2,18,C9.jpg,C,C,1
