Dyad,Player,Stage,Round,Score
13761-83580,137619579400459,1,7,4
13761-83580,835804561913525,1,7,5
13761-83580,137619579400459,1,8,3
13761-83580,835804561913525,1,8,4
13761-83580,835804561913525,1,9,3
13761-83580,137619579400459,1,9,5
13761-83580,835804561913525,1,10,4
13761-83580,137619579400459,1,10,5
13761-83580,835804561913525,1,11,4
13761-83580,137619579400459,1,11,5
13761-83580,137619579400459,1,12,5
13761-83580,835804561913525,1,12,5
13761-83580,137619579400459,1,13,4
13761-83580,835804561913525,1,13,5
13761-83580,137619579400459,1,14,5
13761-83580,835804561913525,1,14,4
13761-83580,137619579400459,1,15,5
13761-83580,835804561913525,1,15,3
13761-83580,137619579400459,1,16,5
13761-83580,835804561913525,1,16,4
13761-83580,137619579400459,1,17,5
13761-83580,835804561913525,1,17,5
13761-83580,137619579400459,1,18,5
13761-83580,835804561913525,1,18,5
13761-83580,137619579400459,1,19,5
13761-83580,835804561913525,1,19,5
13761-83580,137619579400459,1,20,5
13761-83580,835804561913525,1,20,5
13761-83580,137619579400459,1,21,5
13761-83580,835804561913525,1,21,5
13761-83580,137619579400459,1,22,5
13761-83580,835804561913525,1,22,5
13761-83580,137619579400459,1,23,5
13761-83580,835804561913525,1,23,4
13761-83580,137619579400459,1,24,5
13761-83580,835804561913525,1,24,5
13761-83580,137619579400459,1,25,5
13761-83580,835804561913525,1,25,5
13761-83580,137619579400459,2,1,5
13761-83580,835804561913525,2,1,3
13761-83580,835804561913525,2,2,4
13761-83580,137619579400459,2,2,5
13761-83580,835804561913525,2,3,5
13761-83580,137619579400459,2,3,0
13761-83580,835804561913525,2,4,5
13761-83580,137619579400459,2,4,5
13761-83580,835804561913525,2,5,5
13761-83580,137619579400459,2,5,5
13761-83580,137619579400459,2,6,5
13761-83580,835804561913525,2,6,4
13761-83580,137619579400459,2,7,4
13761-83580,835804561913525,2,7,3
13761-83580,835804561913525,2,8,5
13761-83580,137619579400459,2,8,5
13761-83580,835804561913525,2,9,5
13761-83580,137619579400459,2,9,5
13761-83580,835804561913525,2,10,5
13761-83580,137619579400459,2,10,5
13761-83580,835804561913525,2,11,5
13761-83580,137619579400459,2,11,5
13761-83580,835804561913525,2,12,5
13761-83580,137619579400459,2,12,5
13761-83580,137619579400459,2,13,5
13761-83580,835804561913525,2,13,5
13761-83580,137619579400459,2,14,4
13761-83580,835804561913525,2,14,3
13761-83580,835804561913525,2,15,5
13761-83580,137619579400459,2,15,5
13761-83580,137619579400459,2,16,5
13761-83580,835804561913525,2,16,3
13761-83580,137619579400459,2,17,5
13761-83580,835804561913525,2,17,4
13761-83580,835804561913525,2,18,5
13761-83580,137619579400459,2,18,5
13761-83580,835804561913525,2,19,5
13761-83580,137619579400459,2,19,5
13761-83580,137619579400459,2,20,5
13761-83580,835804561913525,2,20,4
13761-83580,137619579400459,2,21,5
13761-83580,835804561913525,2,21,4
13761-83580,835804561913525,2,22,5
13761-83580,137619579400459,2,22,5
13761-83580,137619579400459,2,23,5
13761-83580,835804561913525,2,23,5
13761-83580,835804561913525,2,24,5
13761-83580,137619579400459,2,24,5
13761-83580,835804561913525,2,25,3
13761-83580,137619579400459,2,25,5
42404-27703,42404690668940,1,1,2
42404-27703,277030367725057,1,2,4
42404-27703,42404690668940,1,2,5
42404-27703,277030367725057,1,3,4
42404-27703,42404690668940,1,3,2
42404-27703,277030367725057,1,4,4
42404-27703,42404690668940,1,4,3
42404-27703,277030367725057,1,5,5
42404-27703,42404690668940,1,5,4
42404-27703,42404690668940,1,6,5
42404-27703,277030367725057,1,6,5
42404-27703,42404690668940,1,7,5
42404-27703,277030367725057,1,7,5
42404-27703,277030367725057,1,8,5
42404-27703,42404690668940,1,8,5
42404-27703,277030367725057,1,9,4
42404-27703,42404690668940,1,9,3
42404-27703,277030367725057,1,10,5
42404-27703,42404690668940,1,10,3
42404-27703,277030367725057,1,11,5
42404-27703,42404690668940,1,11,5
42404-27703,277030367725057,1,12,5
42404-27703,42404690668940,1,12,5
42404-27703,42404690668940,1,13,5
42404-27703,277030367725057,1,13,4
42404-27703,277030367725057,1,14,5
42404-27703,42404690668940,1,14,5
42404-27703,277030367725057,1,15,5
42404-27703,42404690668940,1,15,4
42404-27703,42404690668940,1,16,5
42404-27703,277030367725057,1,16,5
42404-27703,277030367725057,1,17,5
42404-27703,42404690668940,1,17,5
42404-27703,277030367725057,1,18,5
42404-27703,42404690668940,1,18,5
42404-27703,277030367725057,1,19,5
42404-27703,42404690668940,1,19,5
42404-27703,42404690668940,1,20,5
42404-27703,277030367725057,1,20,5
42404-27703,277030367725057,1,21,5
42404-27703,42404690668940,1,21,5
42404-27703,277030367725057,1,22,5
42404-27703,42404690668940,1,22,5
42404-27703,42404690668940,1,23,5
42404-27703,277030367725057,1,23,5
42404-27703,277030367725057,1,24,5
42404-27703,42404690668940,1,24,5
42404-27703,42404690668940,1,25,5
42404-27703,277030367725057,1,25,5
42404-27703,277030367725057,2,1,5
42404-27703,42404690668940,2,1,4
42404-27703,277030367725057,2,2,5
42404-27703,42404690668940,2,2,4
42404-27703,42404690668940,2,3,5
42404-27703,277030367725057,2,3,5
42404-27703,42404690668940,2,4,5
42404-27703,277030367725057,2,4,5
42404-27703,277030367725057,2,5,4
42404-27703,42404690668940,2,5,5
42404-27703,42404690668940,2,6,3
42404-27703,277030367725057,2,6,5
42404-27703,277030367725057,2,7,5
42404-27703,42404690668940,2,7,5
42404-27703,277030367725057,2,8,4
42404-27703,42404690668940,2,8,4
42404-27703,42404690668940,2,9,5
42404-27703,277030367725057,2,9,5
42404-27703,277030367725057,2,10,5
42404-27703,42404690668940,2,10,4
42404-27703,277030367725057,2,11,5
42404-27703,42404690668940,2,11,5
42404-27703,277030367725057,2,12,4
42404-27703,42404690668940,2,12,5
42404-27703,42404690668940,2,13,5
42404-27703,277030367725057,2,13,5
42404-27703,42404690668940,2,14,5
42404-27703,277030367725057,2,14,5
42404-27703,277030367725057,2,15,5
42404-27703,42404690668940,2,15,5
42404-27703,42404690668940,2,16,5
42404-27703,277030367725057,2,16,5
42404-27703,42404690668940,2,17,5
42404-27703,277030367725057,2,17,5
42404-27703,277030367725057,2,18,4
42404-27703,42404690668940,2,18,5
42404-27703,42404690668940,2,19,5
42404-27703,277030367725057,2,19,4
42404-27703,277030367725057,2,20,5
42404-27703,42404690668940,2,20,5
42404-27703,42404690668940,2,21,5
42404-27703,277030367725057,2,21,5
42404-27703,42404690668940,2,22,5
42404-27703,277030367725057,2,22,5
42404-27703,277030367725057,2,23,5
42404-27703,42404690668940,2,23,5
42404-27703,277030367725057,2,24,5
42404-27703,42404690668940,2,24,5
42404-27703,42404690668940,2,25,5
42404-27703,277030367725057,2,25,3
15349-95103,153498218008918,1,1,3
15349-95103,951034904396380,1,2,5
15349-95103,951034904396380,1,3,3
15349-95103,153498218008918,1,3,5
15349-95103,951034904396380,1,4,4
15349-95103,153498218008918,1,4,2
15349-95103,153498218008918,1,5,0
15349-95103,951034904396380,1,5,5
15349-95103,153498218008918,1,6,5
15349-95103,951034904396380,1,6,5
15349-95103,153498218008918,1,7,5
15349-95103,951034904396380,1,7,5
15349-95103,951034904396380,1,8,5
15349-95103,153498218008918,1,8,5
15349-95103,153498218008918,1,9,4
15349-95103,951034904396380,1,9,5
15349-95103,153498218008918,1,10,5
15349-95103,951034904396380,1,10,5
15349-95103,153498218008918,1,11,5
15349-95103,951034904396380,1,11,5
15349-95103,153498218008918,1,12,5
15349-95103,951034904396380,1,12,5
15349-95103,951034904396380,1,13,5
15349-95103,153498218008918,1,13,5
15349-95103,153498218008918,1,14,5
15349-95103,951034904396380,1,14,5
15349-95103,153498218008918,1,15,5
15349-95103,951034904396380,1,15,5
15349-95103,951034904396380,1,16,5
15349-95103,153498218008918,1,16,5
15349-95103,153498218008918,1,17,5
15349-95103,951034904396380,1,17,5
15349-95103,153498218008918,1,18,5
15349-95103,951034904396380,1,18,5
15349-95103,153498218008918,1,19,5
15349-95103,951034904396380,1,19,5
15349-95103,951034904396380,1,20,5
15349-95103,153498218008918,1,20,4
15349-95103,951034904396380,1,21,5
15349-95103,153498218008918,1,21,5
15349-95103,951034904396380,1,22,5
15349-95103,153498218008918,1,22,5
15349-95103,153498218008918,1,23,5
15349-95103,951034904396380,1,23,5
15349-95103,153498218008918,1,24,5
15349-95103,951034904396380,1,24,5
15349-95103,153498218008918,1,25,5
15349-95103,951034904396380,1,25,5
15349-95103,153498218008918,2,1,5
15349-95103,951034904396380,2,1,2
15349-95103,951034904396380,2,2,5
15349-95103,153498218008918,2,2,4
15349-95103,951034904396380,2,3,5
15349-95103,153498218008918,2,3,5
15349-95103,951034904396380,2,4,5
15349-95103,153498218008918,2,4,5
15349-95103,951034904396380,2,5,4
15349-95103,153498218008918,2,5,3
15349-95103,951034904396380,2,6,5
15349-95103,153498218008918,2,6,5
15349-95103,951034904396380,2,7,5
15349-95103,153498218008918,2,7,4
15349-95103,153498218008918,2,8,4
15349-95103,951034904396380,2,8,3
15349-95103,153498218008918,2,9,5
15349-95103,951034904396380,2,9,5
15349-95103,951034904396380,2,10,4
15349-95103,153498218008918,2,10,4
15349-95103,153498218008918,2,11,5
15349-95103,951034904396380,2,11,5
15349-95103,951034904396380,2,12,5
15349-95103,153498218008918,2,12,4
15349-95103,951034904396380,2,13,5
15349-95103,153498218008918,2,13,5
15349-95103,153498218008918,2,14,5
15349-95103,951034904396380,2,14,5
15349-95103,951034904396380,2,15,5
15349-95103,153498218008918,2,15,4
15349-95103,153498218008918,2,16,5
15349-95103,951034904396380,2,16,5
15349-95103,153498218008918,2,17,5
15349-95103,951034904396380,2,17,5
15349-95103,951034904396380,2,18,5
15349-95103,153498218008918,2,18,5
15349-95103,153498218008918,2,19,5
15349-95103,951034904396380,2,19,5
15349-95103,153498218008918,2,20,5
15349-95103,951034904396380,2,20,5
15349-95103,153498218008918,2,21,5
15349-95103,951034904396380,2,21,5
15349-95103,153498218008918,2,22,5
15349-95103,951034904396380,2,22,5
15349-95103,951034904396380,2,23,5
15349-95103,153498218008918,2,23,5
15349-95103,153498218008918,2,24,5
15349-95103,951034904396380,2,24,5
15349-95103,951034904396380,2,25,5
15349-95103,153498218008918,2,25,5
91665-36242,362421570668147,1,1,4
91665-36242,916659229295256,1,1,5
91665-36242,916659229295256,1,2,5
91665-36242,362421570668147,1,2,4
91665-36242,362421570668147,1,3,4
91665-36242,916659229295256,1,3,5
91665-36242,362421570668147,1,4,4
91665-36242,916659229295256,1,4,5
91665-36242,362421570668147,1,5,5
91665-36242,916659229295256,1,5,5
91665-36242,916659229295256,1,6,5
91665-36242,362421570668147,1,6,3
91665-36242,916659229295256,1,7,5
91665-36242,362421570668147,1,7,4
91665-36242,362421570668147,1,8,5
91665-36242,916659229295256,1,8,5
91665-36242,362421570668147,1,9,5
91665-36242,916659229295256,1,9,5
91665-36242,362421570668147,1,10,5
91665-36242,916659229295256,1,10,5
91665-36242,916659229295256,1,11,4
91665-36242,362421570668147,1,11,5
91665-36242,362421570668147,1,12,5
91665-36242,916659229295256,1,12,5
91665-36242,916659229295256,1,13,5
91665-36242,362421570668147,1,13,5
91665-36242,362421570668147,1,14,5
91665-36242,916659229295256,1,14,5
91665-36242,362421570668147,1,15,5
91665-36242,916659229295256,1,15,5
91665-36242,362421570668147,1,16,5
91665-36242,916659229295256,1,16,5
91665-36242,916659229295256,1,17,5
91665-36242,362421570668147,1,17,5
91665-36242,916659229295256,1,18,5
91665-36242,362421570668147,1,18,4
91665-36242,362421570668147,1,19,5
91665-36242,916659229295256,1,19,5
91665-36242,362421570668147,1,20,5
91665-36242,916659229295256,1,20,5
91665-36242,362421570668147,1,21,5
91665-36242,916659229295256,1,21,5
91665-36242,916659229295256,1,22,5
91665-36242,362421570668147,1,22,5
91665-36242,916659229295256,1,23,5
91665-36242,362421570668147,1,23,5
91665-36242,362421570668147,1,24,5
91665-36242,916659229295256,1,24,5
91665-36242,916659229295256,1,25,5
91665-36242,362421570668147,1,25,5
91665-36242,362421570668147,2,1,5
91665-36242,916659229295256,2,1,5
91665-36242,916659229295256,2,2,4
91665-36242,362421570668147,2,2,2
91665-36242,916659229295256,2,3,5
91665-36242,362421570668147,2,3,5
91665-36242,916659229295256,2,4,4
91665-36242,362421570668147,2,4,3
91665-36242,362421570668147,2,5,3
91665-36242,916659229295256,2,5,4
91665-36242,362421570668147,2,6,5
91665-36242,916659229295256,2,6,5
91665-36242,916659229295256,2,7,5
91665-36242,362421570668147,2,7,3
91665-36242,916659229295256,2,8,5
91665-36242,362421570668147,2,8,5
91665-36242,362421570668147,2,9,4
91665-36242,916659229295256,2,9,5
91665-36242,916659229295256,2,10,5
91665-36242,362421570668147,2,10,4
91665-36242,362421570668147,2,11,5
91665-36242,916659229295256,2,11,5
91665-36242,362421570668147,2,12,5
91665-36242,916659229295256,2,12,5
91665-36242,916659229295256,2,13,5
91665-36242,362421570668147,2,13,3
91665-36242,916659229295256,2,14,5
91665-36242,362421570668147,2,14,5
91665-36242,362421570668147,2,15,2
91665-36242,916659229295256,2,15,5
91665-36242,916659229295256,2,16,5
91665-36242,362421570668147,2,16,5
91665-36242,362421570668147,2,17,4
91665-36242,916659229295256,2,17,5
91665-36242,916659229295256,2,18,5
91665-36242,362421570668147,2,18,5
91665-36242,362421570668147,2,19,5
91665-36242,916659229295256,2,19,5
91665-36242,362421570668147,2,20,3
91665-36242,916659229295256,2,20,5
91665-36242,916659229295256,2,21,5
91665-36242,362421570668147,2,21,4
91665-36242,916659229295256,2,22,5
91665-36242,362421570668147,2,22,5
91665-36242,916659229295256,2,23,5
91665-36242,362421570668147,2,23,4
91665-36242,362421570668147,2,24,5
91665-36242,916659229295256,2,24,5
91665-36242,916659229295256,2,25,5
91665-36242,362421570668147,2,25,5
86423-32256,864237546831637,1,1,0
86423-32256,322563841246444,1,1,5
86423-32256,322563841246444,1,2,5
86423-32256,864237546831637,1,2,5
86423-32256,322563841246444,1,3,5
86423-32256,864237546831637,1,3,5
86423-32256,322563841246444,1,4,5
86423-32256,864237546831637,1,4,5
86423-32256,864237546831637,1,5,5
86423-32256,322563841246444,1,5,4
86423-32256,864237546831637,1,6,5
86423-32256,322563841246444,1,6,5
86423-32256,322563841246444,1,7,5
86423-32256,864237546831637,1,7,5
86423-32256,322563841246444,1,8,5
86423-32256,864237546831637,1,8,5
86423-32256,322563841246444,1,9,5
86423-32256,864237546831637,1,9,5
86423-32256,322563841246444,1,10,5
86423-32256,864237546831637,1,10,5
86423-32256,322563841246444,1,11,5
86423-32256,864237546831637,1,11,5
86423-32256,322563841246444,1,12,4
86423-32256,864237546831637,1,12,5
86423-32256,322563841246444,1,13,5
86423-32256,864237546831637,1,13,5
86423-32256,322563841246444,1,14,5
86423-32256,864237546831637,1,14,4
86423-32256,322563841246444,1,15,5
86423-32256,864237546831637,1,15,5
86423-32256,864237546831637,1,16,5
86423-32256,322563841246444,1,16,5
86423-32256,864237546831637,1,17,5
86423-32256,322563841246444,1,17,5
86423-32256,322563841246444,1,18,5
86423-32256,864237546831637,1,18,5
86423-32256,864237546831637,1,19,5
86423-32256,322563841246444,1,19,5
86423-32256,322563841246444,1,20,5
86423-32256,864237546831637,1,20,4
86423-32256,864237546831637,1,21,5
86423-32256,322563841246444,1,21,5
86423-32256,864237546831637,1,22,5
86423-32256,322563841246444,1,22,5
86423-32256,864237546831637,1,23,5
86423-32256,322563841246444,1,23,5
86423-32256,322563841246444,1,24,5
86423-32256,864237546831637,1,24,5
86423-32256,322563841246444,1,25,5
86423-32256,864237546831637,1,25,5
86423-32256,322563841246444,2,1,5
86423-32256,864237546831637,2,1,3
86423-32256,322563841246444,2,2,3
86423-32256,864237546831637,2,2,4
86423-32256,322563841246444,2,3,4
86423-32256,864237546831637,2,3,4
86423-32256,322563841246444,2,4,5
86423-32256,864237546831637,2,4,4
86423-32256,322563841246444,2,5,4
86423-32256,864237546831637,2,5,3
86423-32256,864237546831637,2,6,5
86423-32256,322563841246444,2,6,4
86423-32256,322563841246444,2,7,5
86423-32256,864237546831637,2,7,5
86423-32256,864237546831637,2,8,5
86423-32256,322563841246444,2,8,4
86423-32256,864237546831637,2,9,5
86423-32256,322563841246444,2,9,4
86423-32256,322563841246444,2,10,5
86423-32256,864237546831637,2,10,4
86423-32256,864237546831637,2,11,5
86423-32256,322563841246444,2,11,4
86423-32256,322563841246444,2,12,5
86423-32256,864237546831637,2,12,5
86423-32256,864237546831637,2,13,5
86423-32256,322563841246444,2,13,5
86423-32256,864237546831637,2,14,5
86423-32256,322563841246444,2,14,4
86423-32256,322563841246444,2,15,4
86423-32256,864237546831637,2,15,5
86423-32256,864237546831637,2,16,5
86423-32256,322563841246444,2,16,5
86423-32256,322563841246444,2,17,4
86423-32256,864237546831637,2,17,5
86423-32256,864237546831637,2,18,4
86423-32256,322563841246444,2,18,3
86423-32256,864237546831637,2,19,5
86423-32256,322563841246444,2,19,3
86423-32256,322563841246444,2,20,5
86423-32256,864237546831637,2,20,5
86423-32256,864237546831637,2,21,5
86423-32256,322563841246444,2,21,5
86423-32256,322563841246444,2,22,5
86423-32256,864237546831637,2,22,5
86423-32256,864237546831637,2,23,5
86423-32256,322563841246444,2,23,5
86423-32256,864237546831637,2,24,5
86423-32256,322563841246444,2,24,4
86423-32256,864237546831637,2,25,5
86423-32256,322563841246444,2,25,5
13364-56585,133644391566106,1,2,4
13364-56585,56585762474570,1,2,4
13364-56585,56585762474570,1,3,5
13364-56585,133644391566106,1,3,3
13364-56585,133644391566106,1,4,4
13364-56585,56585762474570,1,4,4
13364-56585,56585762474570,1,5,4
13364-56585,133644391566106,1,5,4
13364-56585,56585762474570,1,6,5
13364-56585,133644391566106,1,6,5
13364-56585,56585762474570,1,7,5
13364-56585,133644391566106,1,7,4
13364-56585,56585762474570,1,8,5
13364-56585,133644391566106,1,8,4
13364-56585,56585762474570,1,9,5
13364-56585,133644391566106,1,9,5
13364-56585,56585762474570,1,10,5
13364-56585,133644391566106,1,10,5
13364-56585,56585762474570,1,11,5
13364-56585,133644391566106,1,11,3
13364-56585,56585762474570,1,12,5
13364-56585,133644391566106,1,12,4
13364-56585,56585762474570,1,13,5
13364-56585,133644391566106,1,13,5
13364-56585,56585762474570,1,14,5
13364-56585,133644391566106,1,14,4
13364-56585,133644391566106,1,15,5
13364-56585,56585762474570,1,15,5
13364-56585,56585762474570,1,16,5
13364-56585,133644391566106,1,16,5
13364-56585,133644391566106,1,17,4
13364-56585,56585762474570,1,17,5
13364-56585,133644391566106,1,18,5
13364-56585,56585762474570,1,18,5
13364-56585,56585762474570,1,19,5
13364-56585,133644391566106,1,19,5
13364-56585,133644391566106,1,20,5
13364-56585,56585762474570,1,20,4
13364-56585,56585762474570,1,21,5
13364-56585,133644391566106,1,21,5
13364-56585,133644391566106,1,22,5
13364-56585,56585762474570,1,22,5
13364-56585,56585762474570,1,23,5
13364-56585,133644391566106,1,23,5
13364-56585,56585762474570,1,24,5
13364-56585,133644391566106,1,24,5
13364-56585,133644391566106,1,25,5
13364-56585,56585762474570,1,25,5
13364-56585,56585762474570,2,2,4
13364-56585,56585762474570,2,3,5
13364-56585,133644391566106,2,3,4
13364-56585,133644391566106,2,4,5
13364-56585,56585762474570,2,4,4
13364-56585,133644391566106,2,5,3
13364-56585,56585762474570,2,5,5
13364-56585,133644391566106,2,6,5
13364-56585,56585762474570,2,6,5
13364-56585,133644391566106,2,7,5
13364-56585,56585762474570,2,7,5
13364-56585,56585762474570,2,8,5
13364-56585,133644391566106,2,8,4
13364-56585,133644391566106,2,9,5
13364-56585,56585762474570,2,9,5
13364-56585,133644391566106,2,10,5
13364-56585,56585762474570,2,10,5
13364-56585,133644391566106,2,11,4
13364-56585,56585762474570,2,11,4
13364-56585,133644391566106,2,12,5
13364-56585,56585762474570,2,12,5
13364-56585,56585762474570,2,13,5
13364-56585,133644391566106,2,13,4
13364-56585,133644391566106,2,14,5
13364-56585,56585762474570,2,14,5
13364-56585,133644391566106,2,15,5
13364-56585,56585762474570,2,15,5
13364-56585,133644391566106,2,16,5
13364-56585,56585762474570,2,16,5
13364-56585,56585762474570,2,17,5
13364-56585,133644391566106,2,17,5
13364-56585,133644391566106,2,18,5
13364-56585,56585762474570,2,18,5
13364-56585,133644391566106,2,19,5
13364-56585,56585762474570,2,19,5
13364-56585,56585762474570,2,20,5
13364-56585,133644391566106,2,20,5
13364-56585,133644391566106,2,21,5
13364-56585,56585762474570,2,21,5
13364-56585,133644391566106,2,22,4
13364-56585,56585762474570,2,22,5
13364-56585,133644391566106,2,23,5
13364-56585,56585762474570,2,23,5
13364-56585,133644391566106,2,24,5
13364-56585,56585762474570,2,24,4
13364-56585,56585762474570,2,25,5
13364-56585,133644391566106,2,25,5
32111-69609,32111755046981,1,1,2
32111-69609,696092780970702,1,1,5
32111-69609,32111755046981,1,2,0
32111-69609,696092780970702,1,2,4
32111-69609,32111755046981,1,3,4
32111-69609,696092780970702,1,3,4
32111-69609,696092780970702,1,4,5
32111-69609,32111755046981,1,4,3
32111-69609,32111755046981,1,5,5
32111-69609,696092780970702,1,5,4
32111-69609,32111755046981,1,6,4
32111-69609,696092780970702,1,6,5
32111-69609,696092780970702,1,7,5
32111-69609,32111755046981,1,7,3
32111-69609,32111755046981,1,8,4
32111-69609,696092780970702,1,8,5
32111-69609,32111755046981,1,9,4
32111-69609,696092780970702,1,9,3
32111-69609,32111755046981,1,10,5
32111-69609,696092780970702,1,10,5
32111-69609,32111755046981,1,11,5
32111-69609,696092780970702,1,11,5
32111-69609,32111755046981,1,12,4
32111-69609,696092780970702,1,12,5
32111-69609,696092780970702,1,13,5
32111-69609,32111755046981,1,13,5
32111-69609,696092780970702,1,14,5
32111-69609,32111755046981,1,14,4
32111-69609,696092780970702,1,15,5
32111-69609,32111755046981,1,15,5
32111-69609,696092780970702,1,16,5
32111-69609,32111755046981,1,16,2
32111-69609,32111755046981,1,17,4
32111-69609,696092780970702,1,17,5
32111-69609,32111755046981,1,18,4
32111-69609,696092780970702,1,18,5
32111-69609,32111755046981,1,19,5
32111-69609,696092780970702,1,19,5
32111-69609,32111755046981,1,20,5
32111-69609,696092780970702,1,20,5
32111-69609,32111755046981,1,21,5
32111-69609,696092780970702,1,21,5
32111-69609,696092780970702,1,22,5
32111-69609,32111755046981,1,22,5
32111-69609,32111755046981,1,23,5
32111-69609,696092780970702,1,23,5
32111-69609,696092780970702,1,24,5
32111-69609,32111755046981,1,24,5
32111-69609,32111755046981,1,25,4
32111-69609,696092780970702,1,25,5
32111-69609,696092780970702,2,1,5
32111-69609,32111755046981,2,1,4
32111-69609,32111755046981,2,2,5
32111-69609,696092780970702,2,2,3
32111-69609,696092780970702,2,3,4
32111-69609,32111755046981,2,3,1
32111-69609,32111755046981,2,4,4
32111-69609,696092780970702,2,4,5
32111-69609,32111755046981,2,5,5
32111-69609,696092780970702,2,5,3
32111-69609,32111755046981,2,6,5
32111-69609,696092780970702,2,6,3
32111-69609,32111755046981,2,7,3
32111-69609,696092780970702,2,7,5
32111-69609,32111755046981,2,8,3
32111-69609,696092780970702,2,8,5
32111-69609,32111755046981,2,9,5
32111-69609,696092780970702,2,9,5
32111-69609,32111755046981,2,10,3
32111-69609,696092780970702,2,10,4
32111-69609,32111755046981,2,11,5
32111-69609,696092780970702,2,11,3
32111-69609,32111755046981,2,12,4
32111-69609,696092780970702,2,12,5
32111-69609,32111755046981,2,13,5
32111-69609,696092780970702,2,13,5
32111-69609,32111755046981,2,14,4
32111-69609,696092780970702,2,14,5
32111-69609,32111755046981,2,15,5
32111-69609,696092780970702,2,15,5
32111-69609,32111755046981,2,16,4
32111-69609,696092780970702,2,16,5
32111-69609,32111755046981,2,17,4
