Dyad,Player,Raza,Round,Kind,Pregunto,Novatada,Numerador
13761-83580,137619579400459,terrier,14,A,0,0,0
13761-83580,137619579400459,terrier,14,C,0,0,0
13761-83580,137619579400459,terrier,14,B,1,1,1
13761-83580,835804561913525,hound,14,C,0,1,0
13761-83580,835804561913525,hound,14,B,0,0,0
13761-83580,835804561913525,hound,14,A,0,1,0
13761-83580,835804561913525,hound,14,C,0,1,0
13761-83580,835804561913525,hound,14,B,0,0,0
13761-83580,835804561913525,hound,15,D,0,0,0
13761-83580,835804561913525,hound,15,C,0,1,0
13761-83580,835804561913525,hound,15,D,0,0,0
13761-83580,835804561913525,hound,15,B,0,0,0
13761-83580,835804561913525,hound,15,D,0,0,0
13761-83580,137619579400459,terrier,15,D,0,1,0
13761-83580,137619579400459,terrier,15,C,0,0,0
13761-83580,137619579400459,terrier,15,D,0,1,0
13761-83580,137619579400459,terrier,15,B,0,1,0
13761-83580,137619579400459,terrier,15,D,1,1,1
13761-83580,137619579400459,terrier,16,C,0,0,0
13761-83580,137619579400459,terrier,16,C,0,0,0
13761-83580,137619579400459,terrier,16,B,0,1,0
13761-83580,137619579400459,terrier,16,C,0,0,0
13761-83580,137619579400459,terrier,16,D,0,1,0
13761-83580,835804561913525,hound,16,C,1,1,1
13761-83580,835804561913525,hound,16,C,0,1,0
13761-83580,835804561913525,hound,16,B,0,0,0
13761-83580,835804561913525,hound,16,C,0,1,0
13761-83580,835804561913525,hound,16,D,0,0,0
13761-83580,137619579400459,terrier,17,D,0,1,0
13761-83580,137619579400459,terrier,17,C,0,0,0
13761-83580,137619579400459,terrier,17,B,0,1,0
13761-83580,137619579400459,terrier,17,D,0,1,0
13761-83580,137619579400459,terrier,17,A,1,0,0
13761-83580,835804561913525,hound,17,D,0,0,0
13761-83580,835804561913525,hound,17,C,1,1,1
13761-83580,835804561913525,hound,17,B,0,0,0
13761-83580,835804561913525,hound,17,D,0,0,0
13761-83580,835804561913525,hound,17,A,0,1,0
13761-83580,835804561913525,hound,18,D,0,0,0
13761-83580,835804561913525,hound,18,B,0,0,0
13761-83580,835804561913525,hound,18,D,0,0,0
13761-83580,835804561913525,hound,18,A,0,1,0
13761-83580,835804561913525,hound,18,A,0,1,0
13761-83580,137619579400459,terrier,18,D,0,1,0
13761-83580,137619579400459,terrier,18,B,0,1,0
13761-83580,137619579400459,terrier,18,D,0,1,0
13761-83580,137619579400459,terrier,18,A,0,0,0
13761-83580,137619579400459,terrier,18,A,0,0,0
13761-83580,835804561913525,hound,19,C,0,1,0
13761-83580,835804561913525,hound,19,C,0,1,0
13761-83580,835804561913525,hound,19,B,0,0,0
13761-83580,835804561913525,hound,19,D,0,0,0
13761-83580,835804561913525,hound,19,B,0,0,0
13761-83580,137619579400459,terrier,19,C,0,0,0
13761-83580,137619579400459,terrier,19,C,0,0,0
13761-83580,137619579400459,terrier,19,B,1,1,1
13761-83580,137619579400459,terrier,19,D,0,1,0
13761-83580,137619579400459,terrier,19,B,0,1,0
13761-83580,137619579400459,terrier,20,C,0,0,0
13761-83580,137619579400459,terrier,20,C,0,0,0
13761-83580,137619579400459,terrier,20,D,0,1,0
13761-83580,137619579400459,terrier,20,A,0,0,0
13761-83580,137619579400459,terrier,20,D,0,1,0
13761-83580,835804561913525,hound,20,C,0,1,0
13761-83580,835804561913525,hound,20,C,0,1,0
13761-83580,835804561913525,hound,20,D,0,0,0
13761-83580,835804561913525,hound,20,A,0,1,0
13761-83580,835804561913525,hound,20,D,0,0,0
13761-83580,137619579400459,terrier,21,C,0,0,0
13761-83580,137619579400459,terrier,21,A,0,0,0
13761-83580,137619579400459,terrier,21,B,0,1,0
13761-83580,137619579400459,terrier,21,D,0,1,0
13761-83580,137619579400459,terrier,21,B,0,1,0
13761-83580,835804561913525,hound,21,C,0,1,0
13761-83580,835804561913525,hound,21,A,0,1,0
13761-83580,835804561913525,hound,21,B,0,0,0
13761-83580,835804561913525,hound,21,D,0,0,0
13761-83580,835804561913525,hound,21,B,0,0,0
13761-83580,835804561913525,hound,22,C,0,1,0
13761-83580,835804561913525,hound,22,A,0,1,0
13761-83580,835804561913525,hound,22,A,0,1,0
13761-83580,835804561913525,hound,22,A,0,1,0
13761-83580,835804561913525,hound,22,A,0,1,0
13761-83580,137619579400459,terrier,22,C,0,0,0
13761-83580,137619579400459,terrier,22,A,1,0,0
13761-83580,137619579400459,terrier,22,A,0,0,0
13761-83580,137619579400459,terrier,22,A,0,0,0
13761-83580,137619579400459,terrier,22,A,0,0,0
13761-83580,137619579400459,terrier,23,A,0,0,0
13761-83580,137619579400459,terrier,23,D,0,1,0
13761-83580,137619579400459,terrier,23,C,0,0,0
13761-83580,137619579400459,terrier,23,C,0,0,0
13761-83580,137619579400459,terrier,23,C,0,0,0
13761-83580,835804561913525,hound,23,A,0,1,0
13761-83580,835804561913525,hound,23,D,0,0,0
13761-83580,835804561913525,hound,23,C,0,1,0
13761-83580,835804561913525,hound,23,C,0,1,0
13761-83580,835804561913525,hound,23,C,0,1,0
13761-83580,835804561913525,hound,24,D,0,0,0
13761-83580,835804561913525,hound,24,C,0,1,0
13761-83580,835804561913525,hound,24,D,0,0,0
13761-83580,835804561913525,hound,24,B,0,0,0
13761-83580,835804561913525,hound,24,D,0,0,0
13761-83580,137619579400459,terrier,24,D,0,1,0
13761-83580,137619579400459,terrier,24,C,0,0,0
13761-83580,137619579400459,terrier,24,D,0,1,0
13761-83580,137619579400459,terrier,24,B,0,1,0
13761-83580,137619579400459,terrier,24,D,1,1,1
13761-83580,835804561913525,hound,25,C,0,1,0
13761-83580,835804561913525,hound,25,C,0,1,0
13761-83580,835804561913525,hound,25,B,0,0,0
13761-83580,835804561913525,hound,25,A,0,1,0
13761-83580,835804561913525,hound,25,A,0,1,0
13761-83580,137619579400459,terrier,25,C,0,0,0
13761-83580,137619579400459,terrier,25,C,0,0,0
13761-83580,137619579400459,terrier,25,B,0,1,0
13761-83580,137619579400459,terrier,25,A,0,0,0
13761-83580,137619579400459,terrier,25,A,1,0,0
42404-27703,277030367725057,hound,1,B,0,0,0
42404-27703,277030367725057,hound,1,D,0,0,0
42404-27703,277030367725057,hound,1,D,0,0,0
42404-27703,277030367725057,hound,1,B,0,0,0
42404-27703,277030367725057,hound,1,A,1,1,1
42404-27703,42404690668940,terrier,1,B,0,1,0
42404-27703,42404690668940,terrier,1,D,1,1,1
42404-27703,42404690668940,terrier,1,D,1,1,1
42404-27703,42404690668940,terrier,1,B,1,1,1
42404-27703,42404690668940,terrier,1,A,0,0,0
42404-27703,277030367725057,hound,2,B,0,0,0
42404-27703,277030367725057,hound,2,D,0,0,0
42404-27703,277030367725057,hound,2,C,1,1,1
42404-27703,277030367725057,hound,2,C,0,1,0
42404-27703,277030367725057,hound,2,D,0,0,0
42404-27703,42404690668940,terrier,2,B,1,1,1
42404-27703,42404690668940,terrier,2,D,1,1,1
42404-27703,42404690668940,terrier,2,C,0,0,0
42404-27703,42404690668940,terrier,2,C,0,0,0
42404-27703,42404690668940,terrier,2,D,1,1,1
42404-27703,42404690668940,terrier,3,C,0,0,0
42404-27703,42404690668940,terrier,3,A,0,0,0
42404-27703,42404690668940,terrier,3,C,0,0,0
42404-27703,42404690668940,terrier,3,A,0,0,0
42404-27703,42404690668940,terrier,3,B,1,1,1
42404-27703,277030367725057,hound,3,C,0,1,0
42404-27703,277030367725057,hound,3,A,1,1,1
42404-27703,277030367725057,hound,3,C,0,1,0
42404-27703,277030367725057,hound,3,A,1,1,1
42404-27703,277030367725057,hound,3,B,0,0,0
42404-27703,42404690668940,terrier,4,D,1,1,1
42404-27703,42404690668940,terrier,4,C,0,0,0
42404-27703,42404690668940,terrier,4,A,0,0,0
42404-27703,42404690668940,terrier,4,C,0,0,0
42404-27703,42404690668940,terrier,4,D,1,1,1
42404-27703,277030367725057,hound,4,D,0,0,0
42404-27703,277030367725057,hound,4,C,1,1,1
42404-27703,277030367725057,hound,4,A,1,1,1
42404-27703,277030367725057,hound,4,C,1,1,1
42404-27703,277030367725057,hound,4,D,0,0,0
42404-27703,277030367725057,hound,5,C,0,1,0
42404-27703,277030367725057,hound,5,C,1,1,1
42404-27703,277030367725057,hound,5,A,0,1,0
42404-27703,277030367725057,hound,5,C,1,1,1
42404-27703,277030367725057,hound,5,B,0,0,0
42404-27703,42404690668940,terrier,5,C,0,0,0
