treatment,stage,dyad,player,expert_in,novice_in,round,object,position,kind,classif,accuracy,expert_dog,queried,answer_correct,answered,yes/no
solo,Training rounds,32519-32519,325192931513079,terrier,hound,5,A5.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,5,C10.jpg,frame3,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,5,A7.jpg,frame4,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,5,A3.jpg,frame5,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,6,C4.jpg,frame1,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,6,C7.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,6,A2.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,6,A11.jpg,frame4,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,6,A8.jpg,frame5,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,7,C1.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,7,A5.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,7,C8.jpg,frame3,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,7,A2.jpg,frame4,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,7,C6.jpg,frame5,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,8,A4.jpg,frame1,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,8,A5.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,8,A6.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,8,C9.jpg,frame4,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,8,A7.jpg,frame5,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,9,A11.jpg,frame1,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,9,A10.jpg,frame2,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,9,C6.jpg,frame3,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,9,A2.jpg,frame4,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,9,A3.jpg,frame5,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,10,C12.jpg,frame1,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,10,C11.jpg,frame2,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,10,C5.jpg,frame3,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,10,C8.jpg,frame4,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,10,A7.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,11,A6.jpg,frame1,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,11,C1.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,11,C4.jpg,frame3,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,11,C2.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,11,A4.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,12,A1.jpg,frame1,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,12,A2.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,12,A12.jpg,frame3,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,12,C2.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,12,A7.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,13,C1.jpg,frame1,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,13,A5.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,13,A3.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,13,A8.jpg,frame4,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,13,A7.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,14,A4.jpg,frame1,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,14,C1.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,14,A11.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,14,A7.jpg,frame4,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,14,C6.jpg,frame5,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,16,C8.jpg,frame1,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,16,C7.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,16,A7.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,16,A1.jpg,frame4,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,16,A5.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,17,C6.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,17,C1.jpg,frame2,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,17,C8.jpg,frame3,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,17,C5.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,17,A8.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,18,A1.jpg,frame1,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,18,C4.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,18,A7.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,18,C11.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,18,A4.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,19,C10.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,19,C3.jpg,frame2,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,19,A2.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,19,C6.jpg,frame4,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,19,C11.jpg,frame5,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,20,C3.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,20,A4.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,20,A9.jpg,frame3,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,20,C6.jpg,frame4,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,20,A5.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,21,A3.jpg,frame1,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,21,A2.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,21,C3.jpg,frame3,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,21,C8.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,21,A9.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,22,C9.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,22,A5.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,22,A2.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,22,A6.jpg,frame4,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,22,A4.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,23,C7.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,23,A10.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,23,A9.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,23,C2.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,23,C9.jpg,frame5,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,24,A3.jpg,frame1,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,24,C10.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,24,C8.jpg,frame3,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,24,A5.jpg,frame4,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,24,C5.jpg,frame5,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,25,C4.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,25,C1.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,25,A5.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,25,C10.jpg,frame4,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,25,A11.jpg,frame5,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,1,C11.jpg,frame1,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,1,A5.jpg,frame2,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,1,A7.jpg,frame3,A,C,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,1,D3.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,1,A8.jpg,frame5,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,2,D7.jpg,frame1,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,2,B11.jpg,frame2,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,2,B10.jpg,frame3,B,D,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,2,C7.jpg,frame4,C,A,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,2,C8.jpg,frame5,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,3,B8.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,3,C1.jpg,frame2,C,A,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,3,B12.jpg,frame3,B,A,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,3,B5.jpg,frame4,B,D,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,3,D11.jpg,frame5,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,4,D8.jpg,frame1,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,4,C11.jpg,frame2,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,4,B8.jpg,frame3,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,4,C4.jpg,frame4,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,4,C9.jpg,frame5,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,5,B11.jpg,frame1,B,D,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,5,C4.jpg,frame2,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,5,A3.jpg,frame3,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,5,A9.jpg,frame4,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,5,A2.jpg,frame5,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,6,B12.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,6,B6.jpg,frame2,B,D,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,6,A10.jpg,frame3,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,6,C9.jpg,frame4,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,6,D6.jpg,frame5,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,7,A4.jpg,frame1,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,7,D6.jpg,frame2,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,7,B12.jpg,frame3,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,7,B10.jpg,frame4,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,7,B6.jpg,frame5,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,8,B8.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,8,C1.jpg,frame2,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,8,A7.jpg,frame3,A,B,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,8,B2.jpg,frame4,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,8,D3.jpg,frame5,D,B,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,9,C5.jpg,frame1,C,A,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,9,C6.jpg,frame2,C,A,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,9,C4.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,9,D2.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,9,B6.jpg,frame5,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,10,B12.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,10,A4.jpg,frame2,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,10,B6.jpg,frame3,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,10,D8.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,10,B4.jpg,frame5,B,D,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,11,C5.jpg,frame1,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,11,D6.jpg,frame2,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,11,C4.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,11,B4.jpg,frame4,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,11,C11.jpg,frame5,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,12,B8.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,12,B5.jpg,frame2,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,12,C2.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,12,D10.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,12,D4.jpg,frame5,D,B,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,13,B11.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,13,D10.jpg,frame2,D,B,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,13,C5.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,13,A11.jpg,frame4,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,13,A6.jpg,frame5,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,14,B8.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,14,B4.jpg,frame2,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,14,C5.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,14,D7.jpg,frame4,D,B,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,14,B12.jpg,frame5,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,15,C11.jpg,frame1,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,15,D9.jpg,frame2,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,15,D6.jpg,frame3,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,15,A12.jpg,frame4,A,C,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,15,B6.jpg,frame5,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,16,C11.jpg,frame1,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,16,B10.jpg,frame2,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,16,D11.jpg,frame3,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,16,B11.jpg,frame4,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,16,A9.jpg,frame5,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,17,B5.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,17,A8.jpg,frame2,A,B,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,17,C10.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,17,D10.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,17,B2.jpg,frame5,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,18,A2.jpg,frame1,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,18,A12.jpg,frame2,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,18,D2.jpg,frame3,D,B,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,18,A8.jpg,frame4,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,18,D1.jpg,frame5,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,19,C7.jpg,frame1,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,19,B9.jpg,frame2,B,D,0,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,19,C10.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,19,D3.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,19,D5.jpg,frame5,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,20,D3.jpg,frame1,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,20,C4.jpg,frame2,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,20,A3.jpg,frame3,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,20,D8.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,20,C9.jpg,frame5,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,21,A12.jpg,frame1,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,21,A4.jpg,frame2,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,21,B12.jpg,frame3,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,21,B2.jpg,frame4,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,21,B5.jpg,frame5,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,22,B7.jpg,frame1,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,22,C3.jpg,frame2,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,22,D1.jpg,frame3,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,22,A7.jpg,frame4,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,22,A9.jpg,frame5,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,23,A5.jpg,frame1,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,23,B11.jpg,frame2,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,23,C12.jpg,frame3,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,23,D1.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,23,A8.jpg,frame5,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,24,A4.jpg,frame1,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,24,C1.jpg,frame2,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,24,B4.jpg,frame3,B,B,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,24,D6.jpg,frame4,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,24,C7.jpg,frame5,C,A,0,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,25,A11.jpg,frame1,A,A,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,25,C10.jpg,frame2,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,25,D7.jpg,frame3,D,D,1,False,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,25,C4.jpg,frame4,C,C,1,True,,,,
solo,Game rounds,32519-32519,325192931513079,terrier,hound,25,A12.jpg,frame5,A,B,0,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,1,C10.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,1,C7.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,1,A7.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,1,A11.jpg,frame4,A,A,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,1,C2.jpg,frame5,C,A,0,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,2,A9.jpg,frame1,A,C,0,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,2,C7.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,2,A12.jpg,frame3,A,C,0,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,2,C10.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,2,A5.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,3,C7.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,3,A7.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,3,C1.jpg,frame3,C,A,0,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,3,C11.jpg,frame4,C,A,0,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,3,C6.jpg,frame5,C,C,1,True,,,,
solo,Training rounds,57166-57166,571663380480362,terrier,hound,4,A6.jpg,frame1,A,A,1,True,,,,
