Dyad,Player,Round,objectLeft,objectRight,Score
15850-11039,11039204540670,9,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,9,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,9,Dup,Xol,5
15850-11039,11039204540670,9,Otro-A-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,9,Xol,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,9,Xol,Xol,1
15850-11039,11039204540670,9,Xol,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,9,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,9,Otro-R-B-Vpar-Hpar,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,9,Otro-R-B-Vimp-Himp,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,10,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,10,Xol,Dup,5
15850-11039,11039204540670,10,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,10,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,10,Xol,Xol,1
15850-11039,11039204540670,11,Xol,Dup,5
15850-11039,11039204540670,11,Otro-A-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,11,Otro-R-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,11,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,11,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,11,Xol,Xol,1
15850-11039,11039204540670,11,Xol,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,11,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,11,Otro-R-B-Vimp-Himp,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,11,Otro-R-B-Vimp-Himp,Xol,0
15850-11039,11039204540670,12,Xol,Dup,5
15850-11039,11039204540670,12,Xol,Xol,1
15850-11039,11039204540670,12,Xol,Xol,1
15850-11039,11039204540670,12,Otro-A-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,12,Otro-R-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,12,Otro-A-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,12,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,12,Otro-R-B-Vpar-Hpar,Xol,0
15850-11039,11039204540670,12,Otro-R-B-Vimp-Himp,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,12,Xol,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,13,Xol,Dup,5
15850-11039,11039204540670,13,Xol,Xol,1
15850-11039,11039204540670,13,Xol,Xol,1
15850-11039,11039204540670,13,Xol,Xol,1
15850-11039,11039204540670,13,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,14,Xol,Dup,5
15850-11039,11039204540670,14,Otro-A-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,14,Xol,Xol,1
15850-11039,11039204540670,14,Xol,Xol,1
15850-11039,11039204540670,14,Xol,Xol,1
15850-11039,11039204540670,14,Xol,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,15,Xol,Dup,5
15850-11039,11039204540670,15,Xol,Xol,1
15850-11039,11039204540670,15,Xol,Xol,1
15850-11039,11039204540670,15,Xol,Xol,1
15850-11039,11039204540670,15,Xol,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,15,Otro-R-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,15,Otro-R-B-Vpar-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,15,Otro-R-B-Vimp-Himp,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,1,Otro-A-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,1,Otro-R-B-Vpar-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,881573210164524,1,Dup,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,1,Otro-R-B-Vpar-Hpar,Xol,0
82478-88157,824787143597876,1,Otro-A-G-Vimp-Hpar,Dup,0
82478-88157,824787143597876,1,Xol,Otro-R-B-Vimp-Himp,0
82478-88157,881573210164524,1,Dup,Otro-A-G-Vimp-Hpar,0
82478-88157,881573210164524,2,Otro-A-G-Vpar-Himp,Otro-R-G-Vimp-Hpar,0
82478-88157,881573210164524,2,Dup,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,2,Xol,Xol,1
82478-88157,824787143597876,2,Xol,Xol,1
82478-88157,824787143597876,2,Xol,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,2,Xol,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,2,Otro-R-B-Vimp-Himp,Xol,0
82478-88157,824787143597876,2,Otro-R-B-Vpar-Hpar,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,3,Xol,Xol,1
82478-88157,881573210164524,3,Dup,Otro-A-B-Vpar-Hpar,0
82478-88157,824787143597876,3,Otro-A-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
82478-88157,881573210164524,3,Otro-R-B-Vpar-Hpar,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,3,Xol,Xol,1
82478-88157,824787143597876,4,Otro-A-G-Vimp-Hpar,Xol,0
82478-88157,824787143597876,4,Dup,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,4,Xol,Xol,1
82478-88157,824787143597876,4,Xol,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,4,Xol,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,4,Otro-R-B-Vimp-Himp,Xol,0
82478-88157,824787143597876,4,Xol,Xol,1
82478-88157,824787143597876,4,Otro-R-B-Vpar-Hpar,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,4,Otro-R-B-Vpar-Hpar,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,4,Otro-A-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,5,Otro-R-B-Vimp-Himp,Xol,0
82478-88157,824787143597876,5,Dup,Xol,5
82478-88157,824787143597876,5,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,881573210164524,5,Otro-A-G-Vpar-Himp,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,6,Otro-A-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
82478-88157,881573210164524,6,Dup,Otro-R-B-Vpar-Hpar,0
82478-88157,881573210164524,6,Otro-A-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
82478-88157,881573210164524,6,Otro-A-G-Vimp-Hpar,Otro-A-G-Vpar-Himp,0
82478-88157,881573210164524,6,Otro-A-B-Vpar-Hpar,Xol,0
82478-88157,881573210164524,6,Dup,Otro-A-G-Vpar-Himp,0
82478-88157,881573210164524,6,Dup,Dup,1
82478-88157,881573210164524,6,Dup,Dup,1
82478-88157,881573210164524,6,Otro-A-G-Vpar-Himp,Otro-A-G-Vimp-Hpar,0
82478-88157,881573210164524,6,Otro-A-B-Vpar-Hpar,Dup,0
82478-88157,824787143597876,6,Otro-A-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,6,Otro-R-B-Vpar-Hpar,Xol,0
82478-88157,824787143597876,6,Otro-R-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,6,Xol,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,6,Otro-R-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,6,Xol,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,6,Dup,Xol,5
82478-88157,824787143597876,7,Dup,Xol,5
82478-88157,824787143597876,7,Otro-R-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
82478-88157,881573210164524,7,Dup,Xol,5
82478-88157,824787143597876,7,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,881573210164524,7,Dup,Dup,1
82478-88157,881573210164524,7,Otro-A-G-Vpar-Himp,Otro-A-G-Vpar-Himp,0
82478-88157,824787143597876,7,Xol,Otro-A-G-Vimp-Hpar,0
82478-88157,881573210164524,7,Otro-A-G-Vimp-Hpar,Otro-A-B-Vpar-Hpar,0
82478-88157,824787143597876,7,Otro-R-B-Vimp-Himp,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,7,Xol,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,7,Xol,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,7,Xol,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,7,Xol,Xol,1
82478-88157,824787143597876,7,Otro-R-B-Vpar-Hpar,Xol,0
82478-88157,881573210164524,8,Dup,Xol,5
82478-88157,824787143597876,8,Otro-A-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
82478-88157,881573210164524,8,Dup,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,8,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,9,Otro-A-G-Vimp-Hpar,Xol,0
82478-88157,881573210164524,9,Dup,Xol,5
82478-88157,881573210164524,9,Dup,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,9,Dup,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,9,Otro-A-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,9,Otro-R-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,9,Xol,Otro-R-B-Vimp-Himp,0
82478-88157,881573210164524,10,Xol,Dup,5
82478-88157,824787143597876,10,Xol,Xol,1
82478-88157,824787143597876,10,Dup-Recibido,Xol,5
82478-88157,881573210164524,10,Otro-R-B-Vimp-Himp-Recibido,Dup,0
82478-88157,881573210164524,10,Otro-R-G-Vimp-Hpar,Otro-A-G-Vpar-Himp,0
82478-88157,881573210164524,10,Dup,Dup,1
82478-88157,881573210164524,10,Otro-A-G-Vimp-Hpar,Dup,0
82478-88157,881573210164524,10,Otro-A-G-Vimp-Hpar,Otro-A-G-Vpar-Himp,0
82478-88157,881573210164524,10,Dup,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,10,Xol-Recibido,Otro-R-G-Vimp-Hpar,0
82478-88157,881573210164524,10,Otro-A-B-Vpar-Hpar,Dup,0
82478-88157,881573210164524,10,Otro-R-B-Vpar-Hpar,Otro-A-G-Vpar-Himp,0
82478-88157,824787143597876,11,Otro-R-B-Vimp-Himp,Xol,0
82478-88157,881573210164524,11,Otro-A-B-Vpar-Hpar,Otro-A-G-Vpar-Himp,0
82478-88157,824787143597876,11,Otro-R-G-Vimp-Hpar-Recibido,Xol,0
82478-88157,824787143597876,11,Otro-R-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
82478-88157,881573210164524,11,Xol,Dup,5
82478-88157,881573210164524,11,Otro-R-B-Vpar-Hpar,Dup,0
82478-88157,824787143597876,11,Xol,Xol,1
82478-88157,881573210164524,11,Otro-R-G-Vimp-Hpar,Dup,0
82478-88157,824787143597876,11,Otro-A-G-Vimp-Hpar,Dup,0
82478-88157,824787143597876,11,Otro-A-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
82478-88157,881573210164524,11,Dup,Otro-A-G-Vimp-Hpar,0
82478-88157,881573210164524,11,Otro-A-G-Vimp-Hpar,Dup,0
82478-88157,881573210164524,11,Dup,Otro-A-G-Vpar-Himp,0
82478-88157,824787143597876,12,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar-Recibido,0
82478-88157,824787143597876,12,Xol,Xol,1
82478-88157,824787143597876,12,Otro-R-B-Vpar-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,12,Otro-R-G-Vimp-Hpar,Xol,0
82478-88157,824787143597876,12,Otro-A-G-Vimp-Hpar,Xol,0
82478-88157,824787143597876,12,Otro-R-B-Vimp-Himp,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,12,Otro-A-G-Vimp-Hpar-Recibido,Otro-A-G-Vimp-Hpar-Recibido,0
82478-88157,824787143597876,13,Dup-Recibido,Otro-A-G-Vimp-Hpar-Recibido,0
82478-88157,824787143597876,13,Xol-Recibido,Otro-R-G-Vimp-Hpar-Recibido,0
82478-88157,824787143597876,13,Otro-R-B-Vpar-Hpar-Recibido,Xol,0
82478-88157,881573210164524,13,Otro-A-G-Vpar-Himp,Dup,0
82478-88157,881573210164524,13,Dup,Otro-A-G-Vimp-Hpar,0
82478-88157,881573210164524,13,Otro-A-G-Vimp-Hpar,Dup,0
82478-88157,881573210164524,13,Dup,Otro-A-B-Vpar-Hpar,0
82478-88157,881573210164524,13,Dup,Otro-A-G-Vpar-Himp,0
82478-88157,824787143597876,13,Xol,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,13,Otro-A-G-Vimp-Hpar,Dup,0
82478-88157,824787143597876,13,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,13,Otro-R-B-Vimp-Himp,Xol,0
82478-88157,824787143597876,13,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
82478-88157,824787143597876,13,Otro-R-B-Vimp-Himp,Otro-R-G-Vimp-Hpar,0
82478-88157,824787143597876,13,Xol,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,13,Otro-R-B-Vpar-Hpar,Otro-R-G-Vimp-Hpar-Recibido,0
82478-88157,824787143597876,13,Otro-A-B-Vpar-Hpar-Recibido,Dup-Recibido,0
82478-88157,881573210164524,13,Xol-Recibido,Dup,5
82478-88157,881573210164524,14,Xol,Dup,5
82478-88157,824787143597876,14,Otro-R-B-Vimp-Himp,Xol,0
82478-88157,824787143597876,14,Xol,Xol,1
82478-88157,824787143597876,14,Otro-R-B-Vpar-Hpar,Xol,0
82478-88157,881573210164524,14,Dup,Dup,1
82478-88157,881573210164524,14,Dup,Otro-A-G-Vpar-Himp,0
82478-88157,881573210164524,15,Dup,Otro-A-G-Vpar-Himp,0
82478-88157,824787143597876,15,Xol,Otro-R-B-Vimp-Himp,0
82478-88157,881573210164524,15,Dup,Xol,5
82478-88157,824787143597876,15,Xol,Otro-R-B-Vpar-Hpar-Recibido,0
82478-88157,824787143597876,15,Otro-A-G-Vpar-Himp-Recibido,Xol,0
82478-88157,824787143597876,15,Otro-R-B-Vpar-Hpar,Xol,0
82478-88157,824787143597876,15,Otro-R-B-Vpar-Hpar,Otro-R-G-Vimp-Hpar,0
82478-88157,881573210164524,15,Dup,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,15,Xol,Otro-R-G-Vimp-Hpar,0
82478-88157,881573210164524,15,Otro-R-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
82478-88157,881573210164524,15,Dup,Dup,1
82478-88157,881573210164524,15,Otro-A-B-Vpar-Hpar,Dup,0
82478-88157,881573210164524,15,Dup,Otro-A-G-Vimp-Hpar,0
82478-88157,824787143597876,15,Xol,Xol,1
82478-88157,881573210164524,15,Otro-A-G-Vimp-Hpar,Otro-A-B-Vpar-Hpar,0
82478-88157,824787143597876,15,Otro-R-B-Vimp-Himp,Otro-R-B-Vimp-Himp,0
82478-88157,824787143597876,15,Xol,Otro-R-B-Vpar-Hpar,0
82478-88157,881573210164524,15,Otro-R-B-Vpar-Hpar-Recibido,Otro-A-G-Vimp-Hpar-Recibido,0
82478-88157,881573210164524,15,Otro-A-G-Vimp-Hpar-Recibido,Otro-R-G-Vimp-Hpar-Recibido,0
