Dyad,Player,Round,objectAsked,objectReceived
82478-88157,881573210164524,12,XOL,Xol
82478-88157,881573210164524,12,XOL,Xol
82478-88157,881573210164524,12,XOL,Xol
82478-88157,881573210164524,12,ZAB,Xol
82478-88157,824787143597876,12,DUP,-
82478-88157,824787143597876,12,DUP,-
82478-88157,824787143597876,12,DUP,-
82478-88157,824787143597876,13,DUP,Dup
82478-88157,824787143597876,13,ZAB,Dup
82478-88157,824787143597876,13,DUP,Dup
82478-88157,824787143597876,13,DUP,Dup
82478-88157,824787143597876,13,ZAB,Dup
82478-88157,824787143597876,13,ZAB,Dup
82478-88157,824787143597876,13,DUP,Dup
82478-88157,824787143597876,13,XOL,Dup
82478-88157,824787143597876,13,ZAB,Dup
82478-88157,881573210164524,13,ZAB,-
82478-88157,881573210164524,13,XOL,-
82478-88157,881573210164524,13,XOL,-
82478-88157,881573210164524,13,XOL,-
82478-88157,881573210164524,13,ZAB,-
82478-88157,881573210164524,13,ZAB,-
82478-88157,881573210164524,13,XOL,-
82478-88157,824787143597876,13,XOL,-
82478-88157,824787143597876,13,ZAB,-
82478-88157,824787143597876,13,DUP,-
82478-88157,824787143597876,14,XOL,Otro-R-B-Vpar-Hpar
82478-88157,824787143597876,14,DUP,Otro-R-B-Vpar-Hpar
82478-88157,824787143597876,14,DUP,Otro-R-B-Vpar-Hpar
82478-88157,824787143597876,15,ZAB,Otro-A-G-Vpar-Himp
82478-88157,824787143597876,15,DUP,Otro-A-G-Vpar-Himp
82478-88157,824787143597876,15,ZAB,Otro-A-G-Vpar-Himp
82478-88157,824787143597876,15,XOL,Otro-A-G-Vpar-Himp
82478-88157,881573210164524,15,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,DUP,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,XOL,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,XOL,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,DUP,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,XOL,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,DUP,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,15,XOL,Otro-R-G-Vimp-Hpar
